Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1431548880, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.401, 0.3, 0.325, 0.215, 0.215, 0.95, 
1431548882, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.276, 0.15, 0.325, 0.215, 0.215, 0.475, 
1431548884, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.221, 0.1125, 0.325, 0.215, 0.215, 0.2375, 
1431548888, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.192375, 0.103125, 0.31, 0.215, 0.215, 0.11875, 
1431548892, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.176953, 0.100391, 0.295, 0.215, 0.215, 0.059375, 
1431548902, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.167938, 0.100002, 0.28, 0.215, 0.215, 0.0296875, 
1431548904, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.349, 0.100001, 0.265, 0.215, 0.215, 0.95, 
1431548906, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.254, 0.1, 0.265, 0.215, 0.215, 0.475, 
1431548907, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.2065, 0.1, 0.265, 0.215, 0.215, 0.2375, 
1431548909, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.17975, 0.1, 0.25, 0.215, 0.215, 0.11875, 
1431548917, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.164875, 0.1, 0.235, 0.215, 0.215, 0.059375, 
1431548919, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.155938, 0.1, 0.22, 0.215, 0.215, 0.0296875, 
1431548923, 1, 1, 1, 1, 0, b, home, 0, 0, 0, 0, 0.149969, 0.1, 0.205, 0.215, 0.215, 0.0148437, 
1431548927, 1, 1, 0, 0, 1, r, reaching, 0.281046, -0.154766, 0.22668, 0.386015, 0.149969, 0.1, 0.205, 0.215, 0.215, 0.0148437, 
1431548930, 1, 1, 1, 1, 1, l, reaching, 0.199429, -0.169824, -0.222662, 0.381, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431548934, 1, 1, 0, 1, 0, l, complete, 0.13959, -0.268656, -0.136624, 0.296213, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431548941, 1, 1, 0, 1, 1, l, reaching, 0.153141, -0.213855, -0.204948, 0.353732, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431548945, 1, 1, 0, 1, 1, l, reaching, 0.148796, -0.278948, -0.120715, 0.280582, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431548947, 1, 1, 0, 1, 0, l, complete, 0.153507, -0.270875, -0.118458, 0.29935, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431548958, 1, 1, 0, 1, 1, r, reaching, 0.235572, -0.191668, 0.208507, 0.361474, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431548960, 1, 1, 0, 1, 0, r, reaching, 0.163058, -0.225255, 0.163371, 0.293843, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431548968, 1, 0, 0, 1, 0, r, complete, 0.155247, -0.227607, 0.122311, 0.191003, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431548972, 1, 0, 0, 1, 1, l, reaching, 0.13003, -0.239812, -0.188497, 0.331369, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431548975, 1, 0, 0, 0, 1, r, complete, 0.184908, -0.220643, 0.125389, 0.150579, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431548975, 1, 0, 0, 0, 0, r, complete, 0.184908, -0.220643, 0.125389, 0.150579, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431548982, 1, 0, 0, 1, 1, l, reaching, 0.25212, -0.120642, -0.241868, 0.40437, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431548988, 1, 0, 0, 1, 0, l, complete, 0.137327, -0.270508, -0.138043, 0.297695, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431548997, 1, 0, 0, 1, 1, l, reaching, 0.128787, -0.241339, -0.187632, 0.329817, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431548999, 1, 0, 0, 0, 1, r, reaching, 0.316473, -0.120259, 0.237313, 0.399548, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549005, 1, 0, 0, 0, 1, r, reaching, 0.153894, -0.224471, 0.151617, 0.266777, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549007, 1, 0, 0, 0, 1, r, reaching, 0.149384, -0.219861, 0.126749, 0.225372, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549008, 1, 0, 0, 0, 1, r, reaching, 0.159939, -0.220708, 0.124589, 0.193933, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549011, 1, 0, 0, 1, 1, l, reaching, 0.149006, -0.276359, -0.12092, 0.289135, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549012, 1, 0, 0, 1, 0, l, complete, 0.161332, -0.28213, -0.105779, 0.275058, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549016, 1, 0, 0, 0, 1, r, waiting, 0, 0, 0, 0, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549021, 1, 0, 0, 1, 1, l, reaching, 0.186865, -0.181068, -0.223935, 0.375506, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549026, 1, 0, 0, 1, 1, l, reaching, 0.148965, -0.279259, -0.120409, 0.28019, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549027, 1, 0, 0, 1, 0, l, complete, 0.160411, -0.280654, -0.107113, 0.2775, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549031, 1, 0, 0, 0, 0, b, waiting, 0, 0, 0, 0, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549058, 1, 2, 0, 0, 0, b, waiting, 0, 0, 0, 0, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549063, 1, 2, 0, 1, 1, l, reaching, 0.130672, -0.238988, -0.188923, 0.331955, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549066, 1, 2, 0, 1, 1, l, reaching, 0.136902, -0.274501, -0.136208, 0.290333, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
1431549067, 1, 2, 0, 1, 0, l, complete, 0.14978, -0.280681, -0.119164, 0.277399, 0.126969, 0.1, 0.205, 0.1, 0.215, 0.0148437, 
