x y radius usage
152.37 109.5 4.4 7
160 76.84 7.4 0
100.01 60.01 11.5 -1
100.01 60.01 11.5 -1
226.64 86.04 10.5 1
178.72 62.37 9.1 0
178.72 62.37 9.1 0
226.64 86.04 10.5 1
113.22 112.59 7.8 6
185.45 70.03 8.7 3
185.45 70.03 8.7 3
216.59 78.88 10.1 2
151.22 64.61 8.7 -1
167.4 73.22 7.8 4
167.4 73.22 7.8 4
160 76.84 7.4 0
212.88 67.11 10.5 0
224.52 73.11 11 0
232.83 67.08 12 -1
201.11 63.4 10.1 0
212.88 67.11 10.5 0
216.59 78.88 10.1 2
121.42 113.89 7 5
141.27 177.62 9.1 -2
155.99 107.66 4.4 5
157.43 103.77 4.7 15
187.32 120 5.8 11
167.45 105.36 4.7 13
187.32 120 5.8 11
229.95 120 10.1 -1
158.49 110.51 4 6
149.28 98.97 5.5 13
120.34 80.34 8.7 -1
101.89 90.39 9.6 2
232.83 67.08 12 -1
110.97 84.38 9.1 9
107.11 67.11 10.5 0
132.38 92.38 7 7
206.11 73.88 9.6 -1
173.33 78.95 7.4 -1
182.1 103.94 5.8 4
162.2 117.79 3.4 0
182.1 103.94 5.8 4
153.2 113.2 4 8
134.63 85.08 7.4 5
209.02 84.38 9.1 4
134.63 85.08 7.4 5
166.17 101 5.1 14
138.97 130.71 5.5 5
138.97 130.71 5.5 5
99.4 119.99 9.1 -1
163.71 114.88 3.7 5
160 107.02 4.4 7
153.98 118.04 3.7 6
107.11 67.11 10.5 0
148.26 103.84 5.1 4
110.86 104.03 8.3 10
158.58 122.77 3.4 1
148.38 108.38 4.7 19
148.38 108.38 4.7 19
132.38 147.61 7 -1
157.43 103.77 4.7 15
132.38 147.61 7 -1
145.36 112.54 4.7 2
145.36 112.54 4.7 2
156.91 120.48 3.4 4
129.63 161.79 8.3 3
162.56 103.77 4.7 4
158.04 113.98 3.7 1
176.68 103.31 5.5 16
244.95 76.71 12.6 4
147.02 120 4.4 2
191.234 113.842 5.8 0
176.05 97.89 5.8 3
147.66 115.99 4.4 4
209.02 84.38 9.1 4
138.38 53.47 10.1 0
138.38 53.47 10.1 0
165.11 116.28 3.7 7
143.94 97.89 5.8 7
126.04 53.35 10.5 -1
156.28 114.88 3.7 9
149.79 55.58 9.6 -1
132.67 120 5.8 9
149.5 112.37 4.4 8
141 113.82 5.1 10
108.33 119.99 8.3 12
157.22 121.41 3.4 1
116.84 120 7.4 3
154.88 116.28 3.7 7
153.98 121.95 3.7 2
193.48 86.51 7.8 0
259.087 90.859 12.6 0
259.032 90.838 12.6 0
259.066 91.016 12.6 0
162.77 118.58 3.4 4
