x y radius usage
1.22 0.62 2.6 250
-7.34 46.39 6.5 0
0 35.22 5.5 -1
-13.07 25.66 5 0
32.14 44.24 7.1 0
35.34 48.64 7.6 0
8.26 25.45 4.8 0
41.59 6.58 6.1 -1
-10.29 -1.63 3.4 27
0 39.76 5.9 0
11.24 22.06 4.6 3
39.76 0 5.9 0
3.87 24.46 4.6 0
12.28 37.81 5.9 0
2.69 17.03 4 3
2.69 17.03 4 3
18.15 24.99 5.2 6
18.15 24.99 5.2 6
18.15 24.99 5.2 6
9.54 29.38 5.2 0
9.54 29.38 5.2 0
5.16 32.619 5.3 -5
-10.29 -1.63 3.4 27
-5.86 -37 5.7 -2
1.22 0.62 2.6 250
0.86 2.65 2.8 17
7.16 1.13 3.2 24
1.22 0.62 2.6 250
4.63 -3.36 3 0
35.22 0 5.5 -1
1.22 0.62 2.6 250
-3.36 4.63 3 32
5.16 32.619 5.3 -5
-15.36 7.83 4 2
24.99 18.15 5.2 0
-15.42 11.2 4.2 9
-15.29 47.06 6.7 0
-7.37 7.37 3.4 8
10.88 33.5 5.5 -1
2.69 17.03 4 3
7.13 5.18 3.3 40
1.22 0.62 2.6 250
5.13 5.13 3.2 0
1.22 0.62 2.6 250
-6.24 12.25 3.7 6
14.79 14.79 4.3 3
-4.73 9.28 3.4 0
4.63 3.36 3 14
-5.13 -5.13 3.2 18
-3.36 -4.63 3 0
-14.72 4.78 3.9 0
1.22 0.62 2.6 250
1.22 0.62 2.6 250
1.22 0.62 2.6 250
-10.88 33.5 5.5 -2
-3.36 4.63 3 32
-13.58 2.15 3.7 19
1.22 0.62 2.6 250
-2.99 2.99 2.9 30
1.22 0.62 2.6 250
-5.86 -37 5.7 -2
1.22 0.62 2.6 250
-6.58 -41.59 6.1 0
-3.77 1.92 2.9 12
1.22 0.62 2.6 250
1.22 0.62 2.6 250
-6.24 -12.25 3.7 12
0.86 2.65 2.8 17
1.22 0.62 2.6 250
7.13 5.18 3.3 40
33.5 10.88 5.5 -1
1.22 0.62 2.6 250
10.29 1.63 3.4 13
7.13 5.18 3.3 40
1.22 0.62 2.6 250
23.63 46.38 6.9 0
15.29 47.06 6.7 0
13.75 42.33 6.3 0
1.22 0.62 2.6 250
-3.36 4.63 3 32
-10.88 33.5 5.5 -2
1.22 0.62 2.6 250
0 30.89 5.2 -2
-7.16 -1.13 3.2 30
1.22 0.62 2.6 250
-3.77 1.92 2.9 12
-15.47 0 3.9 17
1.22 0.62 2.6 250
-10.29 -1.63 3.4 27
