retX retY motX motY time
155.474 119.072 0 0 1431519304
142.274 107.573 -2.99662 2.99178 1431519304
89.9621 152.658 -21.4673 -10.4186 1431519304
149.55 130.908 0 0 1431519309
176.425 126.859 7.1711 1.13141 1431519309
125.025 220.346 -7.82225 -28.2989 1431519309
158.827 128.252 0 0 1431519314
185.975 124.33 7.16429 1.12866 1431519314
157.415 120.804 0 0 1431519319
146.379 109.066 -2.9881 2.99178 1431519319
171.926 126.744 0 0 1431519323
231.148 49.3571 15.7314 21.6504 1431519323
160.791 112.483 0 0 1431519330
164.571 102.704 0.847169 2.6497 1431519330
155.282 119.989 0 0 1431519336
104.014 161.766 -15.4399 -11.1997 1431519336
148.693 112.322 0 0 1431519341
165.239 100.468 4.63983 3.36038 1431519341
114.649 38.5081 -12.8933 20.8702 1431519341
156.502 109.212 0 0 1431519348
166.315 28.9157 0 22.8101 1431519348
226.6 20.9579 17.9849 25.8083 1431519348
226.298 20.9894 17.9729 25.8083 1431519348
272.406 20.4783 34.001 25.8083 1431519348
162.491 129.573 0 0 1431519352
123.991 135.528 -10.2853 -1.62988 1431519352
165.78 117.142 0 0 1431519357
193.318 145.554 7.38077 -7.37014 1431519357
106.61 224.183 -19.1337 -33.8599 1431519357
151.623 120.709 0 0 1431519364
65.6667 157.667 -29.4395 -14.99 1431519364
160.488 107.913 0 0 1431519369
206.734 131.431 12.2643 -6.23965 1431519369
84.5337 104.325 -24.7486 -0.380489 1431519369
169.971 115.788 0 0 1431519374
180.277 148.155 2.71878 -8.3799 1431519374
161.737 224.737 2.73071 -35.1413 1431519374
167.158 122.88 0 0 1431519379
180.629 216.533 4.49835 -28.4397 1431519379
167.727 113.527 0 0 1431519384
98.4121 112.98 -19.0707 0 1431519384
148.176 126.647 0 0 1431519391
212.373 117.238 17.0388 2.68995 1431519391
106.366 32.8015 -15.9615 39.6898 1431519391
171.18 113.529 0 0 1431519394
156.76 131.82 0 0 1431519400
195.287 209.329 11.2399 -22.0601 1431519400
168.187 123.943 0 0 1431519408
206.311 205.597 11.245 -22.0601 1431519408
162.886 110.559 0 0 1431519414
135.824 114.776 -7.1677 -1.12866 1431519414
138.207 19.3448 -11.6746 27.3111 1431519414
169.289 121.829 0 0 1431519418
176.337 117.538 1.20513 0.620124 1431519418
178.685 117.239 2.45798 1.24208 1431519418
153.669 119.028 0 0 1431519428
191.703 113.023 10.3024 1.6308 1431519428
158.251 111.14 0 0 1431519433
138.794 129.456 -5.13756 -5.12928 1431519433
209.226 95.4422 13.4967 4.36099 1431519433
155.943 120.746 0 0 1431519439
142.024 113.981 -3.78072 1.91982 1431519439
180.835 108.355 6.51655 3.54971 1431519439
241.774 45.5706 24.031 21.0586 1431519439
281.181 55.6667 36.0584 18.0595 1431519439
150.836 126.328 0 0 1431519443
255.568 91.6211 29.3918 9.53875 1431519443
165.966 121.712 0 0 1431519452
109.658 121.302 -15.4826 0 1431519452
244.747 77.2796 22.3383 12.2799 1431519452
242.129 42.3315 21.3054 22.2796 1431519452
155.176 112.495 0 0 1431519459
153.51 98.0392 -0.666485 4.18995 1431519459
165.206 20.9691 -0.666485 27.0001 1431519459
150.254 27.0317 -4.66198 44.0004 1431519459
161.252 111.069 0 0 1431519463
123.411 116.668 -10.3024 -1.62988 1431519463
153.058 119.912 0 0 1431519468
97.8813 95.553 -18.1298 5.89026 1431519468
163.961 115.714 0 0 1431519473
142.596 115.591 -5.72904 0 1431519473
140.033 41.7322 -9.00181 20.6598 1431519473
152.061 119.94 0 0 1431519478
106.649 154.12 -12.5217 -9.08966 1431519478
155.703 115.027 0 0 1431519484
126.821 213.902 -9.5592 -29.38 1431519484
151.554 111.655 0 0 1431519490
124.989 101.077 -8.41032 2.72104 1431519490
153.876 129.094 0 0 1431519495
149.784 28.5568 -4.51028 28.4397 1431519495
164.341 106.971 0 0 1431519504
168.87 104.221 1.21535 0.620124 1431519504
166.332 219.975 1.21365 -34.5998 1431519504
125.271 206.646 -11.7734 -29.5986 1431519504
125.648 205.728 -11.77 -29.5986 1431519504
174.512 120.927 0 0 1431519509
73 142 -33.51 -10.8796 1431519509
169.08 114.661 0 0 1431519513
157.17 98.5777 -3.36822 4.62898 1431519513
159.882 125.793 0 0 1431519524
144.246 123.091 -4.19834 0.659453 1431519524
96.4248 163.373 -19.6264 -10.5403 1431519524
152.976 121.844 0 0 1431519531
118.115 65.7592 -11.216 15.4199 1431519531
163.016 110.592 0 0 1431519535
157.903 149.198 -1.62615 -10.2888 1431519535
169.688 130.204 0 0 1431519538
159.689 121.098 0 0 1431519543
122.143 22.5714 -9.54556 29.38 1431519543
157.57 134.614 0 0 1431519548
70.8182 69.0649 -25.0077 18.1501 1431519548
165.255 116.767 0 0 1431519551
159.23 126.736 0 0 1431519556
170.913 138.216 2.98981 -2.98995 1431519556
179.049 75.0447 5.68813 14.0397 1431519556
164.101 124.739 0 0 1431519561
126.139 24.2639 -9.55238 29.38 1431519561
145.863 120.4 0 0 1431519564
160.815 115.985 0 0 1431519569
165.242 143 1.13013 -7.15978 1431519569
86.3975 127.349 -40.8908 -4.15977 1431519569
144.167 118.315 0 0 1431519574
62.2029 116.899 -28.4594 -4.4991 1431519574
154.441 116.168 0 0 1431519578
134.124 97.2509 -5.14949 5.1302 1431519578
154.951 113.888 0 0 1431519585
159.273 141.161 1.13694 -7.15978 1431519585
75.2326 138.558 -27.3139 -11.6589 1431519585
150.438 127.08 0 0 1431519590
237.99 113.302 24.4724 3.86983 1431519590
150.382 120.931 0 0 1431519594
176.214 101.457 7.14213 5.17867 1431519594
155.166 114.941 0 0 1431519599
145.466 97.2643 -3.37504 4.62989 1431519599
164.535 115.97 0 0 1431519603
143.063 115.83 -5.72734 0 1431519603
91.7092 89.389 -23.8656 5.89026 1431519603
172.828 111.119 0 0 1431519611
114.291 220.003 -17.0133 -33.3797 1431519611
64.2449 103.776 -44.0425 -3.37867 1431519611
159.473 127.28 0 0 1431519616
84.5146 107.684 -24.4758 3.86983 1431519616
155.271 134.937 0 0 1431519620
81.2053 113.897 -24.4758 3.86891 1431519620
170.629 114.314 0 0 1431519627
151.432 133.986 -5.13926 -5.1302 1431519627
178.389 131.269 2.03184 -3.99971 1431519627
128.112 198.499 -11.3882 -22.4598 1431519627
67.5 72 -36.4248 5.53996 1431519627
145.05 116.427 0 0 1431519630
166.569 124.376 0 0 1431519634
191.822 120.599 7.17963 1.12958 1431519634
146.016 126.802 0 0 1431519639
61.4 65.8 -25.0043 18.1482 1431519639
155.714 133.882 0 0 1431519644
123.91 223.596 -9.55579 -29.38 1431519644
162.426 113.801 0 0 1431519648
173.265 144.819 2.73071 -8.37899 1431519648
147.284 126.064 0 0 1431519653
174.461 106.676 7.14042 5.17867 1431519653
82.8015 138.654 -18.3343 -3.08141 1431519653
147.544 118.264 0 0 1431519658
64.5347 117.822 -28.4645 -4.4991 1431519658
157.389 108.493 0 0 1431519663
