x y radius usage
152.37 109.5 4.4 5
160 76.84 7.4 0
100.01 60.01 11.5 -1
100.01 60.01 11.5 -1
226.64 86.04 10.5 1
209.96 94.54 8.7 1
178.72 62.37 9.1 0
178.72 62.37 9.1 0
226.64 86.04 10.5 1
113.22 112.59 7.8 6
185.45 70.03 8.7 3
185.45 70.03 8.7 3
216.59 78.88 10.1 2
151.22 64.61 8.7 -1
167.4 73.22 7.8 4
167.4 73.22 7.8 4
160 76.84 7.4 0
212.88 67.11 10.5 0
224.52 73.11 11 0
232.83 67.08 12 -1
201.11 63.4 10.1 0
212.88 67.11 10.5 0
216.59 78.88 10.1 2
121.42 113.89 7 2
141.27 177.62 9.1 -1
155.99 107.66 4.4 3
157.43 103.77 4.7 15
141.27 177.62 9.1 -1
187.32 120 5.8 6
167.45 105.36 4.7 4
187.32 120 5.8 6
229.95 120 10.1 -1
158.49 110.51 4 3
149.28 98.97 5.5 10
120.34 80.34 8.7 -1
101.89 90.39 9.6 2
232.83 67.08 12 -1
110.97 84.38 9.1 6
107.11 67.11 10.5 0
132.38 92.38 7 7
206.11 73.88 9.6 -1
173.33 78.95 7.4 0
182.1 103.94 5.8 4
162.2 117.79 3.4 0
182.1 103.94 5.8 4
153.2 113.2 4 4
134.63 85.08 7.4 5
209.02 84.38 9.1 4
134.63 85.08 7.4 5
166.17 101 5.1 2
93.35 153.95 10.5 9
138.97 130.71 5.5 2
138.97 130.71 5.5 2
99.4 119.99 9.1 -1
163.71 114.88 3.7 1
160 107.02 4.4 4
153.98 118.04 3.7 4
107.11 67.11 10.5 0
148.26 103.84 5.1 4
110.86 104.03 8.3 5
158.58 122.77 3.4 1
148.38 108.38 4.7 11
148.38 108.38 4.7 11
132.38 147.61 7 -1
157.43 103.77 4.7 15
132.38 147.61 7 -1
145.36 112.54 4.7 2
145.36 112.54 4.7 2
156.91 120.48 3.4 2
129.63 161.79 8.3 3
162.56 103.77 4.7 1
158.04 113.98 3.7 1
176.68 103.31 5.5 13
244.95 76.71 12.6 -1
147.02 120 4.4 0
191.234 113.842 5.8 0
244.95 76.71 12.6 -1
176.05 97.89 5.8 1
147.66 115.99 4.4 2
209.02 84.38 9.1 4
138.38 53.47 10.1 0
138.38 53.47 10.1 0
165.11 116.28 3.7 2
143.94 97.89 5.8 4
126.04 53.35 10.5 -1
156.28 114.88 3.7 6
149.79 55.58 9.6 -1
132.67 120 5.8 9
149.5 112.37 4.4 2
141 113.82 5.1 4
108.33 119.99 8.3 6
157.22 121.41 3.4 1
116.84 120 7.4 3
154.88 116.28 3.7 3
153.98 121.95 3.7 1
193.48 86.51 7.8 0
259.087 90.859 12.6 0
259.032 90.838 12.6 0
259.066 91.016 12.6 0
162.77 118.58 3.4 2
170.2 184.41 9.6 -1
189.6 61.89 9.6 4
156.3 96.69 5.5 3
170.82 86.66 6.6 3
168.77 64.61 8.7 -1
138.49 162.19 7.8 6
190.36 78.2 8.3 0
155.12 150.75 6.2 0
160 155.04 6.6 7
170.82 86.66 6.6 3
181.61 53.47 10.1 0
158.49 129.479 4 2
218.1 149.6 9.6 0
218.1 149.6 9.6 0
224.52 166.88 11 0
181.61 53.47 10.1 0
158.58 117.22 3.4 0
136.69 123.69 5.5 1
143.77 117.43 4.7 -1
143.77 117.43 4.7 -1
201.79 89.63 8.3 1
168.77 64.61 8.7 -1
121.42 126.1 7 3
162.2 122.2 3.4 2
155.63 111.44 4 4
224.41 130.2 9.6 3
113.22 112.59 7.8 6
126.66 130.82 6.6 4
161.5 129.479 4 0
129.24 124.87 6.2 5
235.58 81.48 11.5 2
161.5 110.51 4 2
124.38 70.97 9.1 0
102.37 138.72 9.1 0
155.99 132.33 4.4 0
102.37 138.72 9.1 0
156.91 119.51 3.4 3
129.24 115.12 6.2 6
107.11 172.88 10.5 3
84.41 158.51 11.5 5
138.38 186.52 10.1 4
101.89 149.6 9.6 6
138.49 77.8 7.8 1
156.28 125.11 3.7 1
212.91 47.16 12 0
212.91 47.16 12 0
155.12 89.24 6.2 -1
160 92.67 5.8 0
167.62 109.5 4.4 6
160 92.67 5.8 0
215.427 108.945 8.7 0
153.89 81.42 7 3
160 68.33 8.3 -1
215.427 108.945 8.7 0
126.04 53.35 10.5 -1
113.22 127.4 7.8 5
166.79 126.79 4 3
233.87 131.7 10.5 -1
227.41 52.58 12.6 -1
227.41 52.58 12.6 -1
76.21 133.27 11.5 2
167.62 130.49 4.4 1
171.61 131.61 4.7 2
171.61 131.61 4.7 2
220.59 120 9.1 4
158.04 126.01 3.7 2
143.77 122.56 4.7 4
194.91 94.63 7.4 -1
134.01 111.55 5.8 1
218.1 90.39 9.6 2
124.95 120 6.6 1
144.03 70.86 8.3 1
150.51 118.49 4 1
226.64 86.04 10.5 1
206.88 184.52 11 1
160 139.96 5.1 2
171.7 193.87 10.5 0
206.88 184.52 11 1
141.27 62.37 9.1 -2
160 147.32 5.8 2
160 40.24 11 5
160 40.24 11 5
126.04 186.64 10.5 0
125.2 102.27 7 3
140.03 120 5.1 6
126.04 186.64 10.5 0
250.02 120 12 -1
254.75 71.71 13.6 1
178.99 126.17 5.1 2
182.01 97.98 6.2 3
163.69 96.69 5.5 0
163.69 96.69 5.5 0
162.56 136.22 4.7 6
87.16 172.91 12 4
100.01 179.98 11.5 0
172.33 124 4.4 0
100.01 179.98 11.5 0
113.11 184.52 11 6
117.8 98.49 7.8 4
171.73 136.15 5.1 4
84.14 144.64 11 3
178.72 177.62 9.1 1
161.95 113.98 3.7 1
203.15 120 7.4 5
