x y radius usage
1.22 0.62 2.6 106
-7.34 46.39 6.5 0
0 35.22 5.5 -1
-13.07 25.66 5 0
32.14 44.24 7.1 0
18.63 9.49 4.3 1
35.34 48.64 7.6 0
8.26 25.45 4.8 0
41.59 6.58 6.1 -1
-10.29 -1.63 3.4 18
0 39.76 5.9 0
11.24 22.06 4.6 3
39.76 0 5.9 0
3.87 24.46 4.6 0
12.28 37.81 5.9 0
2.69 17.03 4 4
2.69 17.03 4 4
18.15 24.99 5.2 0
18.15 24.99 5.2 0
18.15 24.99 5.2 0
9.54 29.38 5.2 0
9.54 29.38 5.2 0
5.16 32.619 5.3 -5
-10.29 -1.63 3.4 18
-5.86 -37 5.7 -2
1.22 0.62 2.6 106
0.86 2.65 2.8 14
0 -39.76 5.9 0
7.16 1.13 3.2 9
1.22 0.62 2.6 106
4.63 -3.36 3 0
35.22 0 5.5 -1
1.22 0.62 2.6 106
-3.36 4.63 3 20
5.16 32.619 5.3 -5
-15.36 7.83 4 2
24.99 18.15 5.2 0
-15.42 11.2 4.2 6
-15.29 47.06 6.7 0
-7.37 7.37 3.4 8
10.88 33.5 5.5 -1
2.69 17.03 4 4
7.13 5.18 3.3 26
1.22 0.62 2.6 106
5.13 5.13 3.2 0
1.22 0.62 2.6 106
-6.24 12.25 3.7 6
14.79 14.79 4.3 3
-4.73 9.28 3.4 0
4.63 3.36 3 2
-18.46 -13.41 4.5 7
-5.13 -5.13 3.2 6
-3.36 -4.63 3 0
-14.72 4.78 3.9 0
1.22 0.62 2.6 106
1.22 0.62 2.6 106
1.22 0.62 2.6 106
-10.88 33.5 5.5 -2
-3.36 4.63 3 20
-13.58 2.15 3.7 11
1.22 0.62 2.6 106
-2.99 2.99 2.9 15
1.22 0.62 2.6 106
-5.86 -37 5.7 -2
1.22 0.62 2.6 106
-6.58 -41.59 6.1 0
-3.77 1.92 2.9 6
1.22 0.62 2.6 106
1.22 0.62 2.6 106
-6.24 -12.25 3.7 9
0.86 2.65 2.8 14
1.22 0.62 2.6 106
7.13 5.18 3.3 26
33.5 10.88 5.5 -1
1.22 0.62 2.6 106
10.29 1.63 3.4 6
37.81 12.28 5.9 0
7.13 5.18 3.3 26
1.22 0.62 2.6 106
23.63 46.38 6.9 0
15.29 47.06 6.7 0
13.75 42.33 6.3 0
1.22 0.62 2.6 106
-3.36 4.63 3 20
-10.88 33.5 5.5 -2
1.22 0.62 2.6 106
0 30.89 5.2 -2
-7.16 -1.13 3.2 24
1.22 0.62 2.6 106
-3.77 1.92 2.9 6
-15.47 0 3.9 11
1.22 0.62 2.6 106
-10.29 -1.63 3.4 18
1.22 0.62 2.6 106
1.22 0.62 2.6 106
12.52 9.09 3.9 0
29.38 9.54 5.2 2
29.38 9.54 5.2 2
29.38 9.54 5.2 2
1.22 0.62 2.6 106
2.69 -17.03 4 -1
7.83 15.36 4 6
-3.36 4.63 3 20
2.72 8.38 3.3 3
0 22.81 4.5 5
-6.24 -12.25 3.7 9
4.73 9.28 3.4 0
-15.73 21.65 4.8 0
-1.63 -10.29 3.4 14
1.13 7.16 3.2 0
