saccadeCounter stepCounter successfulDirectLink successfulNeighbourLink unsuccesfulDirectLinkCounter neighourCounter penultimateMoveWasLink linksLearnt linksUpdated possibleLinkstoLearn unlearntInputFields(612) unlearntOutputFields(580) rollingAverage NumLinks NumGoodLinks TimeStamp
- - - - - - - - - - - - - - - 1431519276
0 2 1 0 1 0 1 3 0 0 342 400 2 354 181 1431519305
1 2 0 1 0 2 1 3 0 3 339 399 2 357 183 1431519310
2 1 1 0 0 0 0 2 0 0 339 399 1.66667 357 183 1431519315
3 1 1 0 0 0 0 2 0 0 339 399 1.5 357 183 1431519319
4 1 1 0 0 0 0 2 0 0 339 399 1.4 357 184 1431519324
5 1 1 0 0 0 0 2 0 0 339 399 1.33333 357 185 1431519330
6 1 1 0 0 0 0 2 0 0 338 399 1.28571 358 186 1431519336
7 2 1 0 0 1 1 3 0 2 337 398 1.375 360 185 1431519342
8 6 0 1 0 1 0 5 0 7 334 396 1.88889 364 187 1431519348
9 1 0 1 0 1 0 2 0 1 333 396 1.8 365 189 1431519353
10 2 0 1 0 2 1 3 0 3 331 395 1.8 367 192 1431519358
11 1 1 0 0 0 0 2 0 0 331 395 1.7 367 192 1431519365
12 2 1 0 0 1 1 3 0 2 330 395 1.8 369 192 1431519370
13 2 0 1 1 1 1 3 0 1 329 394 1.9 370 193 1431519375
14 1 1 0 0 0 0 2 0 0 329 394 1.9 370 194 1431519379
15 1 1 0 0 0 0 2 0 0 328 394 1.9 371 194 1431519384
16 9 1 0 0 0 0 3 0 9 327 393 2.7 373 194 1431519392
17 0 0 0 0 0 0 1 0 0 327 393 2.5 373 194 1431519395
18 1 0 1 0 1 0 2 0 1 326 393 2 374 197 1431519401
19 1 0 1 0 1 0 2 0 1 325 393 2 375 199 1431519409
20 2 0 1 0 2 1 3 0 3 323 393 2 378 200 1431519414
21 2 1 0 1 0 1 3 0 0 323 392 2.1 378 199 1431519418
22 1 0 1 0 1 0 2 0 2 323 391 2 381 200 1431519429
23 2 1 0 1 0 1 3 0 0 323 390 2 381 199 1431519433
24 4 1 0 2 0 1 5 0 2 322 386 2.3 383 198 1431519439
25 1 0 1 0 1 0 2 0 2 322 386 2.3 386 198 1431519444
26 6 1 0 1 0 1 4 0 5 321 384 2 388 198 1431519452
27 9 1 0 0 1 1 4 0 8 320 384 2.9 390 198 1431519460
28 1 1 0 0 0 0 2 0 0 320 384 2.9 390 198 1431519464
29 1 1 0 0 0 0 2 0 0 320 384 2.9 390 198 1431519469
30 2 1 0 1 0 1 3 0 0 320 384 2.9 390 199 1431519474
31 1 1 0 0 0 0 2 0 0 320 384 2.8 390 200 1431519479
32 1 1 0 0 0 0 2 0 0 320 384 2.8 390 200 1431519485
33 1 1 0 0 0 0 2 0 0 320 384 2.7 390 200 1431519491
34 1 1 0 0 0 0 2 0 0 320 384 2.4 390 200 1431519496
35 12 1 0 1 0 1 5 0 11 319 383 3.5 392 201 1431519505
36 1 0 1 0 1 0 2 0 1 318 383 3 393 203 1431519509
37 1 1 0 0 0 0 2 0 0 318 383 2.2 393 203 1431519514
38 2 1 0 0 1 1 3 0 2 316 382 2.3 396 203 1431519525
