x y saccadeNo stepCount
*******************************
Starting saccade: 1
-15.47 0 1 0
-15.4723 -0.000117074 
Fixated on saccade: 1
*******************************
*******************************
Starting saccade: 2
-14.7564 15.525 2 0
42.0243 -40.0026 2 1
-0.00170456 0 2 2
-26.0185 40.0007 2 3
0.00170456 0 2 4
-1.99605 -38.0004 2 5
0 0 2 6
-11.0149 -8.00124 2 7
0 0 2 8
0 0 2 9
5.0046 29.0031 2 10
0 0 2 11
0 0 2 12
6.02052 -12.9997 2 13
0 0 2 14
0 0 2 15
0 0 2 16
42.0141 5.9991 2 17
0 0 2 18
-44.0204 -9.99881 2 19
0 0 2 20
2.0165 -3.99788 2 21
-0.00170456 0 2 22
-0.00170456 -0.000914637 2 23
-0.00340913 0 2 24
8.04214 -7.05734 2 25
-0.00340913 0 2 26
-0.00170456 0 2 27
0 0 2 28
-20.0116 12 2 29
0.00170456 0 2 30
0 0 2 31
0 0 2 32
14.0371 -3.99696 2 33
-0.00170456 0 2 34
0 0 2 35
29.0168 -11.0003 2 36
-0.00170456 0 2 37
-0.00340913 0 2 38
-17.0047 40.0007 2 39
0 0 2 40
18.0224 -22.0034 2 41
0 0 2 42
-0.00170456 0 2 43
-24.0207 -2.99818 2 44
0 0 2 45
0.00170456 0 2 46
27.0191 -15 2 47
-0.00170456 0 2 48
-0.00170456 0 2 49
9.00863 31.0034 2 50
0 0 2 51
-28.0367 -28.0318 2 52
0.00170456 0 2 53
0 0 2 54
16.0229 -4.99849 2 55
0 0 2 56
0 0 2 57
0 0 2 58
-13.0126 27.0257 2 59
1.63 10.29 2 60
4.62603 2.28955 
Failed to fixate on saccade: 2
*******************************
*******************************
Starting saccade: 3
Failed to fixate on saccade: 3
*******************************
*******************************
Starting saccade: 4
28.0213 -17.0004 4 0
-30.0327 -15.9997 4 1
0 0 4 2
0 0 4 3
7.01769 -14.0058 4 4
0 0 4 5
0 0 4 6
-4.01595 18.0577 4 7
0 0 4 8
0 0 4 9
0 0 4 10
29.0151 -2.99909 4 11
-0.00170456 0 4 12
-0.00170456 0 4 13
0.975011 1.01433 4 14
0.00170456 0 4 15
0 0 4 16
4.00232 24.0056 4 17
0 0 4 18
0 0 4 19
0 0 4 20
4.00573 -25.019 4 21
0 0 4 22
0 0 4 23
-7.04156 -2.00031 4 24
0.00170456 0 4 25
0.00340913 0 4 26
0 0 4 27
-0.99717 21.0037 4 28
0 0 4 29
0 0 4 30
-16.028 12.0074 4 31
0 0 4 32
0 0 4 33
-13.0024 -3.99879 4 34
0 0 4 35
0 0 4 36
38.0186 4.00062 4 37
0 0 4 38
-41.0101 -10.9994 4 39
0 0 4 40
31.0231 -3.00001 4 41
0 0 4 42
0 0 4 43
-30.014 10.9994 4 44
0 0 4 45
24.0344 -5.99727 4 46
-0.00170456 -0.000914637 4 47
-0.00170456 0 4 48
27.0139 -30.0019 4 49
0 0 4 50
0 0 4 51
-42.0192 6.9988 4 52
0 0 4 53
18.0224 35.0196 4 54
-0.00170456 0 4 55
-29.0168 -4.00062 4 56
0 0 4 57
12.0104 -37.0236 4 58
0 0 4 59
0 0 4 60
16.0195 -6.00002 4 61
0 0 4 62
0 0 4 63
0 0 4 64
-2.03695 8.06801 4 65
0 0 4 66
0.00170456 0 4 67
0 0 4 68
-5.0046 34.0126 4 69
0.00170456 0 4 70
-3.00344 -29.0351 4 71
0 0 4 72
0 0 4 73
11.0149 -14.0077 4 74
0 0 4 75
0 0 4 76
0 0 4 77
-11.0047 34.0062 4 78
0 0 4 79
-0.11591 0 4 80
0 0 4 81
0 0 4 82
0 0 4 83
0 0 4 84
-8.0285 5.01678 4 85
0 0 4 86
0.00170456 0 4 87
0 0 4 88
39.0158 9.00003 4 89
1.22 0.62 4 90
22.2265 14.6202 
-6.46 -3.29 4 91
15.7703 11.3294 
Fixated on saccade: 4
*******************************
*******************************
Starting saccade: 5
-4.71994 -40.1452 5 0
-34.0146 32.0031 5 1
14.0371 -7.99759 5 2
-0.00340913 0 5 3
11.0064 -16.0308 5 4
-0.00170456 0 5 5
0 0 5 6
0 0 5 7
7.00917 2.00031 5 8
-0.00170456 0 5 9
0 0 5 10
0 0 5 11
-1.02444 -7.02624 5 12
0.00170456 0 5 13
0 0 5 14
0 0 5 15
2.0165 8.07259 5 16
0 0 5 17
0 0 5 18
0 0 5 19
-30.0174 8.00124 5 20
0 0 5 21
0 0 5 22
37.018 24.0001 5 23
0 0 5 24
-0.00511369 0 5 25
0 0 5 26
0 0 5 27
-4.00914 -18.0312 5 28
0 0 5 29
0 -0.000914637 5 30
0 -0.000914637 5 31
10.016 11.0013 5 32
-0.00170456 0 5 33
0 0 5 34
0 0 5 35
-26.0083 -39.001 5 36
0 0 5 37
35.0237 1.9994 5 38
-0.00170456 0 5 39
-14.0371 -8.00033 5 40
0 0 5 41
0.00170456 0 5 42
0 0 5 43
-15.0189 37.0355 5 44
0 0 5 45
0 0 5 46
9.04101 3.00092 5 47
-0.00170456 0.000914637 5 48
-0.00170456 0 5 49
0 0 5 50
-21.0105 -29.0013 5 51
0.00170456 0 5 52
46.025 12.9997 5 53
0 0 5 54
-52.0216 8.99911 5 55
0 0 5 56
12.0325 -3.99696 5 57
-0.00170456 0 5 58
0 0 5 59
-1.00228 -17.015 5 60
0 0 5 61
0 0 5 62
0 0 5 63
0.993761 36.012 5 64
0 0 5 65
27.0259 -6.99789 5 66
0 0 5 67
0 0 5 68
-28.0094 -38.0032 5 69
0.00170456 0 5 70
-7.00065 41.005 5 71
0 0 5 72
26.0219 -23.0022 5 73
0 0 5 74
0 0 5 75
-34.0146 24.9998 5 76
0 0 5 77
0 0 5 78
17.0269 -27.0257 5 79
-0.00340913 0 5 80
0 0 5 81
22.0213 9.99881 5 82
0 0 5 83
-0.00170456 0 5 84
-4.00573 23.0059 5 85
0 0 5 86
0 0 5 87
22.0059 -34.0071 5 88
0 0 5 89
0 0 5 90
-40.0164 33.9998 5 91
0 0 5 92
-2.99492 -1.99391 5 93
0 0 5 94
0 0 5 95
11.0217 -25.0153 5 96
-0.00170456 0 5 97
0 0 5 98
0 0 5 99
