x y radius
163.08 120.48 3.4
166.32 120 3.7
169.48 121.5 4
172.97 120 4.4
176.22 122.56 4.7
179.96 120 5.1
183.3 123.69 5.5
187.32 120 5.8
190.75 124.87 6.2
195.04 120 6.6
198.57 126.1 7
203.15 120 7.4
206.77 127.4 7.8
211.66 120 8.3
215.38 128.77 8.7
220.59 120 9.1
224.41 130.2 9.6
229.95 120 10.1
233.87 131.7 10.5
239.75 120 11
243.78 133.27 11.5
250.02 120 12
254.17 134.91 12.6
260.78 120 13.1
265.03 136.63 13.6
272.03 120 14.2
276.4 138.43 14.7
283.81 120 15.3
288.3 140.32 15.9
296.13 120 16.5
300.74 142.29 17.1
309 120 17.8
313.74 144.35 18.4
162.77 121.41 3.4
166.01 121.95 3.7
168.55 124.36 4
172.33 124 4.4
174.63 127.45 4.7
178.99 126.17 5.1
181.02 130.71 5.5
185.98 128.44 5.8
187.74 134.13 6.2
193.33 130.82 6.6
194.79 137.72 7
201.04 133.33 7.4
202.19 141.5 7.8
209.13 135.96 8.3
209.96 145.45 8.7
217.62 138.72 9.1
218.1 149.6 9.6
226.52 141.61 10.1
226.64 153.95 10.5
235.85 144.64 11
235.58 158.51 11.5
245.62 147.82 12
244.95 163.28 12.6
255.85 151.14 13.1
254.75 168.28 13.6
266.55 154.62 14.2
265.01 173.5 14.7
277.75 158.26 15.3
275.74 178.97 15.9
289.46 162.06 16.5
286.96 184.69 17.1
301.71 166.04 17.8
298.69 190.66 18.4
314.51 170.2 19.1
310.94 196.91 19.7
162.2 122.2 3.4
165.11 123.71 3.7
166.79 126.79 4
170.49 127.62 4.4
171.61 131.61 4.7
176.15 131.73 5.1
176.68 136.68 5.5
182.1 136.05 5.8
182.01 142.01 6.2
188.35 140.59 6.6
187.61 147.61 7
194.91 145.36 7.4
193.48 153.48 7.8
201.79 150.36 8.3
199.65 159.65 8.7
209.02 155.61 9.1
206.11 166.11 9.6
216.59 161.11 10.1
212.88 172.88 10.5
224.52 166.88 11
219.98 179.98 11.5
232.83 172.91 12
227.41 187.41 12.6
241.53 179.23 13.1
235.19 195.19 13.6
250.64 185.85 14.2
243.34 203.34 14.7
260.16 192.77 15.3
251.85 211.85 15.9
270.13 200.01 16.5
260.76 220.76 17.1
280.54 207.58 17.8
270.06 230.06 18.4
291.43 215.49 19.1
279.79 239.79 19.7
302.8 223.75 20.4
314.68 232.38 21.8
161.41 122.77 3.4
163.71 125.11 3.7
164.36 128.55 4
167.62 130.49 4.4
167.45 134.63 4.7
171.73 136.15 5.1
170.71 141.02 5.5
176.05 142.1 5.8
174.13 147.74 6.2
180.59 148.35 6.6
177.72 154.79 7
185.36 154.91 7.4
181.5 162.19 7.8
190.36 161.79 8.3
185.45 169.96 8.7
195.61 169.02 9.1
189.6 178.1 9.6
201.11 176.59 10.1
