x y radius
1.36 0.21 2.6
2.79 0 2.8
4.19 0.66 2.9
5.72 0 3
7.16 1.13 3.2
8.81 0 3.3
10.29 1.63 3.4
12.06 0 3.6
13.58 2.15 3.7
15.47 0 3.9
17.03 2.69 4
19.06 0 4.2
20.66 3.27 4.3
22.81 0 4.5
24.46 3.87 4.6
26.76 0 4.8
28.44 4.5 5
30.89 0 5.2
32.619 5.16 5.3
35.22 0 5.5
37 5.86 5.7
39.76 0 5.9
41.59 6.58 6.1
44.51 0 6.3
46.39 7.34 6.5
49.48 0 6.7
51.41 8.14 6.9
54.68 0 7.1
56.66 8.97 7.4
1.22 0.62 2.6
2.65 0.86 2.8
3.77 1.92 2.9
5.44 1.77 3
6.46 3.29 3.2
8.38 2.72 3.3
9.28 4.73 3.4
11.47 3.72 3.6
12.25 6.24 3.7
14.72 4.78 3.9
15.36 7.83 4
18.12 5.89 4.2
18.63 9.49 4.3
21.7 7.05 4.5
22.06 11.24 4.6
25.45 8.26 4.8
25.66 13.07 5
29.38 9.54 5.2
29.43 14.99 5.3
33.5 10.88 5.5
33.38 17.01 5.7
37.81 12.28 5.9
37.52 19.11 6.1
42.33 13.75 6.3
41.85 21.32 6.5
47.06 15.29 6.7
46.38 23.63 6.9
52 16.89 7.1
51.12 26.04 7.4
57.18 18.57 7.6
56.07 28.57 7.8
0.97 0.97 2.6
2.25 1.64 2.8
2.99 2.99 2.9
4.63 3.36 3
5.13 5.13 3.2
7.13 5.18 3.3
7.37 7.37 3.4
9.76 7.09 3.6
9.72 9.72 3.7
12.52 9.09 3.9
12.19 12.19 4
15.42 11.2 4.2
14.79 14.79 4.3
18.46 13.41 4.5
17.51 17.51 4.6
21.65 15.73 4.8
20.36 20.36 5
24.99 18.15 5.2
23.35 23.35 5.3
28.49 20.7 5.5
26.49 26.49 5.7
32.16 23.37 5.9
29.77 29.77 6.1
36.01 26.16 6.3
33.21 33.21 6.5
40.03 29.08 6.7
36.8 36.8 6.9
44.24 32.14 7.1
40.56 40.56 7.4
48.64 35.34 7.6
44.5 44.5 7.8
53.24 38.68 8.1
48.61 48.61 8.3
58.05 42.17 8.5
52.9 52.9 8.8
0.62 1.22 2.6
1.64 2.25 2.8
1.92 3.77 2.9
3.36 4.63 3
3.29 6.46 3.2
5.18 7.13 3.3
4.73 9.28 3.4
7.09 9.76 3.6
6.24 12.25 3.7
9.09 12.52 3.9
7.83 15.36 4
11.2 15.42 4.2
9.49 18.63 4.3
13.41 18.46 4.5
11.24 22.06 4.6
15.73 21.65 4.8
13.07 25.66 5
18.15 24.99 5.2
14.99 29.43 5.3
20.7 28.49 5.5
17.01 33.38 5.7
23.37 32.16 5.9
19.11 37.52 6.1
26.16 36.01 6.3
21.32 41.85 6.5
29.08 40.03 6.7
23.63 46.38 6.9
32.14 44.24 7.1
26.04 51.12 7.4
35.34 48.64 7.6
0.21 1.36 2.6
0.86 2.65 2.8
0.66 4.19 2.9
1.77 5.44 3
