Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1433246525, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246532, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246533, 1, 1, 0, 1, 1, r, reaching, 0.284336, -0.153353, 0.225996, 0.392619, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246540, 1, 1, 0, 1, 0, r, complete, 0.164613, -0.226473, 0.120639, 0.173983, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246554, 1, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246554, 1, 1, 0, 0, 1, l, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246559, 1, 1, 0, 0, 0, l, complete, 0.142109, -0.277527, -0.128279, 0.288748, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246579, 1, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246581, 1, 1, 0, 1, 1, r, reaching, 0.287809, -0.152878, 0.230399, 0.393593, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246582, 1, 1, 1, 1, 0, r, reaching, 0.216686, -0.203422, 0.19969, 0.346762, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246584, 1, 1, 1, 1, 1, l, reaching, 0.183371, -0.18458, -0.217643, 0.372207, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246588, 1, 1, 1, 1, 0, l, complete, 0.152175, -0.277126, -0.117671, 0.28168, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246596, 1, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246596, 1, 1, 0, 0, 1, l, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246598, 1, 1, 0, 0, 0, l, reaching, 0.123915, -0.244343, -0.190343, 0.325155, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246600, 1, 1, 0, 1, 1, l, reaching, 0.130641, -0.278918, -0.141785, 0.282567, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246600, 1, 1, 0, 1, 0, l, complete, 0.14131, -0.278004, -0.128916, 0.288885, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246612, 1, 0, 0, 1, 0, b, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246614, 1, 0, 0, 1, 0, b, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246616, 1, 0, 0, 1, 1, l, reaching, 0.155148, -0.208832, -0.220327, 0.357113, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246620, 1, 0, 0, 1, 0, l, complete, 0.148259, -0.28112, -0.11911, 0.289792, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246627, 1, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246628, 1, 0, 0, 1, 1, l, reaching, 0.176904, -0.189573, -0.223532, 0.369698, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246632, 1, 0, 0, 1, 0, l, complete, 0.148968, -0.279948, -0.119653, 0.282855, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246640, 1, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246642, 1, 0, 0, 1, 1, l, reaching, 0.176761, -0.189744, -0.221839, 0.369061, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246644, 1, 0, 0, 1, 0, l, reaching, 0.129869, -0.279916, -0.143768, 0.274138, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246646, 1, 0, 0, 1, 1, l, reaching, 0.153964, -0.27576, -0.115412, 0.291092, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246647, 1, 0, 0, 1, 0, l, complete, 0.165193, -0.276198, -0.102496, 0.290806, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246652, 1, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246653, 1, 0, 0, 1, 1, l, reaching, 0.185213, -0.182123, -0.222148, 0.373111, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246656, 1, 0, 0, 1, 0, l, reaching, 0.136094, -0.279259, -0.137162, 0.271985, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246657, 1, 0, 0, 1, 1, r, reaching, 0.268238, -0.170256, 0.224833, 0.382123, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246664, 1, 0, 0, 1, 0, r, complete, 0.160205, -0.225474, 0.11965, 0.18226, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246666, 1, 0, 0, 1, 1, l, reaching, 0.153424, -0.279704, -0.114227, 0.287228, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246667, 1, 0, 0, 1, 0, l, complete, 0.164348, -0.277418, -0.102701, 0.293309, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246670, 1, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246670, 1, 0, 0, 0, 1, r, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246672, 1, 0, 0, 0, 0, r, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246718, 1, 2, 0, 0, 0, b, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246727, 1, 2, 0, 0, 0, b, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246727, 1, 2, 0, 0, 1, r, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246730, 1, 2, 0, 0, 0, r, reaching, 0.240893, -0.183826, 0.206055, 0.366364, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246731, 1, 2, 0, 1, 1, r, reaching, 0.188147, -0.214312, 0.180423, 0.320911, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246736, 1, 2, 0, 1, 0, r, complete, 0.158479, -0.224027, 0.12104, 0.188641, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246744, 1, 2, 0, 0, 0, b, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246744, 1, 2, 0, 0, 1, r, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246752, 1, 2, 0, 0, 0, r, complete, 0.157643, -0.223154, 0.120651, 0.191217, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246762, 1, 2, 1, 0, 0, b, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246762, 1, 2, 1, 0, 1, l, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246766, 1, 2, 0, 0, 0, l, reaching, 0.129908, -0.274446, -0.146098, 0.280708, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246768, 1, 2, 0, 1, 1, r, reaching, 0.272598, -0.160049, 0.218917, 0.385733, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246774, 1, 2, 0, 1, 0, r, complete, 0.159442, -0.223333, 0.120525, 0.187315, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
1433246778, 1, 2, 0, 0, 0, b, home, 0, 0, 0, 0, 0.276263, 0.3, 0.325, 0.0463158, 0.55, 0.16, 
Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
