Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1432293342, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293346, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293346, 1, 1, 0, 0, 1, r, home, 0, 0, 0, 0, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293351, 1, 1, 0, 0, 0, r, reaching, 0.230417, -0.242426, 0.255361, 0.307396, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293352, 1, 1, 0, 1, 1, l, reaching, 0.145235, -0.215989, -0.243286, 0.35558, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293353, 1, 1, 0, 1, 0, l, reaching, 0.0924551, -0.274706, -0.196457, 0.303448, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293355, 1, 1, 0, 1, 1, l, reaching, 0.112175, -0.291674, -0.154602, 0.291032, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293356, 1, 1, 0, 1, 0, l, complete, 0.124917, -0.290628, -0.140106, 0.298472, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293361, 1, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293362, 1, 1, 0, 1, 1, r, reaching, 0.279816, -0.16041, 0.22817, 0.389582, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293365, 1, 1, 0, 1, 0, r, reaching, 0.176843, -0.22234, 0.175967, 0.309518, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293367, 1, 1, 0, 1, 1, l, reaching, 0.176434, -0.189967, -0.229489, 0.371397, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293368, 1, 1, 0, 1, 0, l, reaching, 0.113734, -0.261209, -0.179773, 0.310936, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293369, 1, 1, 0, 0, 1, r, reaching, 0.112962, -0.26916, -0.1711, 0.300235, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293372, 1, 1, 0, 0, 0, r, complete, 0.155842, -0.227098, 0.121548, 0.18987, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293386, 1, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293388, 1, 1, 0, 1, 1, l, reaching, 0.185374, -0.181601, -0.234069, 0.375838, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293391, 1, 1, 0, 1, 0, l, reaching, 0.129246, -0.284251, -0.14082, 0.27852, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
1432293393, 1, 1, 0, 1, 1, l, reaching, 0.153294, -0.283905, -0.112217, 0.287904, 0.253053, 0.3, 0.325, 0.0202632, 0.55, 0.07, 
