Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1432313909, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432313917, 1, 1, 0, 1, 0, b, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432313918, 1, 1, 0, 1, 1, l, reaching, 0.181808, -0.185309, -0.224125, 0.372535, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432313923, 1, 1, 0, 1, 0, l, complete, 0.135198, -0.281931, -0.135503, 0.276858, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432313932, 1, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432313934, 1, 1, 0, 1, 1, l, reaching, 0.180835, -0.1863, -0.225281, 0.372749, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432313938, 1, 1, 0, 1, 0, l, complete, 0.142025, -0.279994, -0.127403, 0.284506, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432313960, 1, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432313961, 1, 1, 0, 1, 1, l, reaching, 0.171251, -0.194426, -0.227533, 0.367961, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432313965, 1, 1, 0, 1, 0, l, complete, 0.144124, -0.281312, -0.123799, 0.288737, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432313987, 1, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432313996, 1, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314003, 1, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314003, 1, 0, 0, 0, 1, l, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314009, 1, 0, 0, 0, 0, l, complete, 0.137016, -0.280247, -0.132732, 0.287503, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314010, 1, 0, 0, 1, 1, l, reaching, 0.158507, -0.280553, -0.107535, 0.29773, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314011, 1, 0, 0, 1, 0, l, complete, 0.170023, -0.276315, -0.0969078, 0.306408, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314020, 1, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314021, 1, 0, 0, 1, 1, r, reaching, 0.277251, -0.16637, 0.232313, 0.386115, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314028, 1, 0, 0, 1, 0, r, complete, 0.166456, -0.228586, 0.123371, 0.170444, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314036, 1, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314038, 1, 0, 0, 1, 1, l, reaching, 0.172359, -0.193206, -0.2264, 0.367573, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314042, 1, 0, 0, 1, 0, l, complete, 0.142516, -0.283819, -0.125391, 0.279918, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314050, 1, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314050, 1, 0, 0, 0, 1, l, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314055, 1, 0, 0, 0, 0, l, complete, 0.143146, -0.280339, -0.126059, 0.283363, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314057, 1, 0, 0, 0, 0, b, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314073, 1, 2, 0, 0, 0, b, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314100, 1, 2, 1, 0, 0, b, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314100, 1, 2, 1, 0, 1, r, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314109, 1, 2, 1, 0, 0, r, complete, 0.16469, -0.226617, 0.12376, 0.17605, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314110, 1, 2, 1, 1, 1, r, reaching, 0.179, -0.226287, 0.123641, 0.153008, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314111, 1, 2, 1, 1, 0, r, complete, 0.187305, -0.224993, 0.129363, 0.145268, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314126, 1, 2, 1, 0, 0, b, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314127, 1, 2, 1, 1, 1, l, reaching, 0.186906, -0.180168, -0.228452, 0.375011, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314132, 1, 2, 0, 1, 0, l, complete, 0.13822, -0.275786, -0.134249, 0.285903, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
1432314134, 1, 2, 0, 0, 0, b, home, 0, 0, 0, 0, 0.266263, 0.3, 0.275, 0.0463158, 0.55, 0.16, 
Timestamp, Week, ExperimentPhase, isFixated, isHandOpen, ReachTriggered, CurrArm, ReachStatus, ReachDist, X, Y, Z, GlobExcitation, RetinaEx, FovEx, ArmEx, HandEx, EyeEx
1432314195, 7, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314219, 7, 1, 0, 0, 0, b, home, 0, 0, 0, 0, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314221, 7, 1, 0, 1, 1, l, reaching, 0.149136, -0.21135, -0.250828, 0.354927, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314226, 7, 1, 0, 1, 0, l, complete, 0.0894385, -0.288914, -0.255076, 0.23487, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314229, 7, 1, 0, 1, 0, l, waiting, 0.0894385, -0.288914, -0.255076, 0.23487, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314231, 7, 1, 0, 1, 1, l, reaching, 0.0920805, -0.28881, -0.256839, 0.231532, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314232, 7, 1, 0, 1, 0, l, complete, 0.0956933, -0.288429, -0.257215, 0.227102, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314241, 7, 1, 1, 1, 0, l, waiting, 0.0956933, -0.288429, -0.257215, 0.227102, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
1432314241, 7, 1, 1, 0, 1, r, waiting, 0.0956933, -0.288429, -0.257215, 0.227102, 0.208716, 0.3, 0.35, 0.00357895, 0.04, 0.35, 
