x y radius usage
158.58 122.77 3.4 7
176.15 108.26 5.1 11
164.87 89.24 6.2 8
138.38 53.47 10.1 2
125.08 94.63 7.4 29
187.82 34.37 12 2
110.03 145.45 8.7 30
189.6 61.89 9.6 14
189.6 61.89 9.6 14
137.98 142.01 6.2 19
164.87 89.24 6.2 8
76.65 36.65 14.7 -1
156.28 125.11 3.7 6
148.29 46.12 10.5 3
160.48 116.91 3.4 5
160 76.84 7.4 -1
157.22 118.58 3.4 8
176.05 97.89 5.8 0
155.63 111.44 4 11
160 68.33 8.3 -3
149.5 127.62 4.4 13
147.66 115.99 4.4 6
137.89 136.05 5.8 4
151.44 115.63 4 10
149.28 98.97 5.5 -2
153.67 120 3.7 8
144.03 70.86 8.3 -1
170.49 127.62 4.4 14
144.03 70.86 8.3 -1
167.62 130.49 4.4 7
152.59 73.22 7.8 0
129.24 124.87 6.2 4
164 132.33 4.4 12
147.66 124 4.4 8
152.54 134.63 4.7 18
160 126.32 3.7 12
107.08 47.16 12 5
163.08 120.48 3.4 11
162.77 118.58 3.4 6
152.37 109.5 4.4 2
168.55 115.63 4 28
140.03 120 5.1 24
150.51 121.5 4 16
163.69 96.69 5.5 -1
168.55 124.36 4 10
151.44 124.36 4 3
134.54 70.03 8.7 1
164.36 128.55 4 20
128.85 24.14 13.1 4
162.2 122.2 3.4 7
160 132.97 4.4 13
107.08 47.16 12 5
161.41 117.22 3.4 6
156.3 143.3 5.5 8
160 50.04 10.1 0
152.54 105.36 4.7 6
155.99 132.33 4.4 9
153.89 81.42 7 1
103.4 78.88 10.1 -1
166.32 120 3.7 15
160 76.84 7.4 -1
165.11 123.71 3.7 11
111.71 25.24 13.6 -2
164 107.66 4.4 5
160 132.97 4.4 13
152.37 130.49 4.4 12
107.11 67.11 10.5 2
113.11 55.47 11 8
168.44 94.01 5.8 4
126.66 109.17 6.6 18
132.25 134.13 6.2 2
126.66 109.17 6.6 18
166.01 121.95 3.7 18
174.91 25.82 12.6 -3
172.97 120 4.4 16
137.89 103.94 5.8 15
137.89 103.94 5.8 15
138.97 109.28 5.5 6
182.1 103.94 5.8 0
100.01 60.01 11.5 2
95.47 73.11 11 3
160 107.02 4.4 0
95.47 73.11 11 3
147.02 120 4.4 14
100.76 38.46 13.1 15
138.97 130.71 5.5 2
135.35 44.14 11 0
158.04 126.01 3.7 9
158.49 110.51 4 0
156.91 120.48 3.4 5
132.38 92.38 7 5
161.5 110.51 4 10
124.38 70.97 9.1 0
171.7 46.12 10.5 1
154.88 123.71 3.7 10
153.89 81.42 7 1
185.98 128.44 5.8 11
95.47 73.11 11 3
145.36 112.54 4.7 16
153.2 113.2 4 5
160.48 123.08 3.4 6
162.56 136.22 4.7 22
111.71 25.24 13.6 -2
129.24 115.12 6.2 7
157.79 117.79 3.4 3
180.59 91.64 6.6 10
158.58 117.22 3.4 7
163.71 114.88 3.7 6
154.88 116.28 3.7 1
116.71 35.04 12.6 2
148.38 131.61 4.7 11
155.63 128.55 4 9
160 50.04 10.1 0
153.82 138.99 5.1 20
162.77 121.41 3.4 11
135.35 44.14 11 0
153.98 121.95 3.7 5
171.73 136.15 5.1 17
176.15 131.73 5.1 8
120.34 80.34 8.7 1
116.71 35.04 12.6 2
158.49 129.479 4 7
146.66 78.95 7.4 -1
156.28 114.88 3.7 2
116.71 35.04 12.6 2
118.88 63.4 10.1 -3
161.95 113.98 3.7 3
182.1 136.05 5.8 7
181.02 109.28 5.5 20
43.59 101.56 14.7 2
149.5 112.37 4.4 4
167.4 73.22 7.8 -1
170.71 98.97 5.5 5
155.99 107.66 4.4 4
148.29 46.12 10.5 3
150.51 118.49 4 4
111.71 25.24 13.6 -2
167.45 105.36 4.7 17
187.82 34.37 12 2
166.1 81.42 7 9
173.33 78.95 7.4 1
161.95 126.01 3.7 9
153.98 118.04 3.7 9
148.29 46.12 10.5 3
108.33 119.99 8.3 7
145.36 127.45 4.7 -2
118.2 89.63 8.3 0
148.29 46.12 10.5 3
163.69 96.69 5.5 -1
116.84 120 7.4 6
103.4 78.88 10.1 -1
152.54 105.36 4.7 6
156.3 96.69 5.5 4
174.63 112.54 4.7 10
153.2 126.79 4 8
121.42 113.89 7 10
153.82 101 5.1 5
143.77 117.43 4.7 1
149.28 98.97 5.5 -2
172.97 120 4.4 16
131.64 99.4 6.6 4
148.29 46.12 10.5 3
47.96 119.99 14.2 8
172.33 124 4.4 7
100.76 38.46 13.1 15
173.27 36.21 11.5 -2
149.79 55.58 9.6 -2
169.48 121.5 4 10
157.79 117.79 3.4 3
100.76 38.46 13.1 15
141 113.82 5.1 11
