inpX inpY inpRad outpX outpY outpRad lnkUsg
158.58 122.77 3.4 1.22 0.62 2.6 7
176.15 108.26 5.1 6.46 3.29 3.2 6
164.87 89.24 6.2 2.72 8.38 3.3 4
138.38 53.47 10.1 -19.11 37.52 6.1 -1
125.08 94.63 7.4 -14.72 4.78 3.9 17
187.82 34.37 12 -44.24 32.14 7.1 0
110.03 145.45 8.7 -20.66 -3.27 4.3 18
189.6 61.89 9.6 12.19 12.19 4 8
189.6 61.89 9.6 11.2 15.42 4.2 0
137.98 142.01 6.2 -8.38 -2.72 3.3 4
164.87 89.24 6.2 5.18 7.13 3.3 1
76.65 36.65 14.7 -29.77 29.77 6.1 -1
156.28 125.11 3.7 1.22 0.62 2.6 6
148.29 46.12 10.5 -2.69 17.03 4 -1
160.48 116.91 3.4 1.22 0.62 2.6 5
160 76.84 7.4 1.63 10.29 3.4 -1
157.22 118.58 3.4 1.22 0.62 2.6 8
176.05 97.89 5.8 6.46 3.29 3.2 0
155.63 111.44 4 1.22 0.62 2.6 11
160 68.33 8.3 10.88 33.5 5.5 -1
149.5 127.62 4.4 1.22 0.62 2.6 13
147.66 115.99 4.4 1.22 0.62 2.6 6
137.89 136.05 5.8 -7.13 -5.18 3.3 2
151.44 115.63 4 1.22 0.62 2.6 10
149.28 98.97 5.5 -1.13 7.16 3.2 -1
153.67 120 3.7 1.22 0.62 2.6 8
144.03 70.86 8.3 -6.58 41.59 6.1 -1
170.49 127.62 4.4 1.22 0.62 2.6 13
144.03 70.86 8.3 -13.75 42.33 6.3 0
167.62 130.49 4.4 1.22 0.62 2.6 7
152.59 73.22 7.8 0 44.51 6.3 0
129.24 124.87 6.2 -19.06 0 4.2 -1
164 132.33 4.4 1.22 0.62 2.6 12
147.66 124 4.4 1.22 0.62 2.6 8
152.54 134.63 4.7 -4.19 -0.66 2.9 10
160 126.32 3.7 1.22 0.62 2.6 12
107.08 47.16 12 -40.56 40.56 7.4 1
163.08 120.48 3.4 1.22 0.62 2.6 11
162.77 118.58 3.4 1.22 0.62 2.6 6
152.37 109.5 4.4 1.22 0.62 2.6 2
168.55 115.63 4 1.22 0.62 2.6 28
140.03 120 5.1 -4.19 0.66 2.9 15
150.51 121.5 4 1.22 0.62 2.6 16
163.69 96.69 5.5 5.13 5.13 3.2 -1
168.55 124.36 4 1.22 0.62 2.6 10
151.44 124.36 4 1.22 0.62 2.6 3
134.54 70.03 8.7 -9.54 29.38 5.2 0
164.36 128.55 4 1.22 0.62 2.6 20
128.85 24.14 13.1 -13.07 25.66 5 0
162.2 122.2 3.4 1.22 0.62 2.6 7
160 132.97 4.4 -0.86 -2.65 2.8 1
107.08 47.16 12 -26.16 36.01 6.3 4
161.41 117.22 3.4 1.22 0.62 2.6 6
156.3 143.3 5.5 -3.36 -4.63 3 6
160 50.04 10.1 -13.75 42.33 6.3 0
152.54 105.36 4.7 -4.63 3.36 3 4
155.99 132.33 4.4 1.22 0.62 2.6 9
153.89 81.42 7 0 39.76 5.9 1
103.4 78.88 10.1 -18.63 9.49 4.3 -1
166.32 120 3.7 1.22 0.62 2.6 15
160 76.84 7.4 -5.16 32.619 5.3 0
165.11 123.71 3.7 1.22 0.62 2.6 11
111.71 25.24 13.6 -26.16 36.01 6.3 0
164 107.66 4.4 1.22 0.62 2.6 5
160 132.97 4.4 1.22 0.62 2.6 11
152.37 130.49 4.4 1.22 0.62 2.6 12
107.11 67.11 10.5 -33.21 33.21 6.5 0
113.11 55.47 11 -29.08 40.03 6.7 0
168.44 94.01 5.8 2.72 8.38 3.3 2
126.66 109.17 6.6 -13.58 2.15 3.7 11
132.25 134.13 6.2 -15.47 0 3.9 -1
126.66 109.17 6.6 -14.72 4.78 3.9 0
166.01 121.95 3.7 1.22 0.62 2.6 18
174.91 25.82 12.6 0 26.76 4.8 0
172.97 120 4.4 1.22 0.62 2.6 16
137.89 103.94 5.8 -14.72 4.78 3.9 10
137.89 103.94 5.8 -13.58 2.15 3.7 0
138.97 109.28 5.5 -13.58 2.15 3.7 3
182.1 103.94 5.8 6.46 3.29 3.2 0
100.01 60.01 11.5 -36.8 36.8 6.9 0
95.47 73.11 11 -22.06 11.24 4.6 0
160 107.02 4.4 1.22 0.62 2.6 0
95.47 73.11 11 -44.24 32.14 7.1 1
147.02 120 4.4 1.22 0.62 2.6 14
100.76 38.46 13.1 -32.14 44.24 7.1 0
138.97 130.71 5.5 -4.63 -3.36 3 1
135.35 44.14 11 -4.78 14.72 3.9 0
158.04 126.01 3.7 1.22 0.62 2.6 9
158.49 110.51 4 1.22 0.62 2.6 0
156.91 120.48 3.4 1.22 0.62 2.6 5
132.38 92.38 7 -14.72 4.78 3.9 3
161.5 110.51 4 1.22 0.62 2.6 10
124.38 70.97 9.1 -33.21 33.21 6.5 0
171.7 46.12 10.5 0 44.51 6.3 1
154.88 123.71 3.7 1.22 0.62 2.6 10
153.89 81.42 7 -7.34 46.39 6.5 1
185.98 128.44 5.8 8.81 0 3.3 7
95.47 73.11 11 -40.56 40.56 7.4 0
145.36 112.54 4.7 -4.19 0.66 2.9 10
153.2 113.2 4 1.22 0.62 2.6 5
160.48 123.08 3.4 1.22 0.62 2.6 6
162.56 136.22 4.7 -0.86 -2.65 2.8 12
111.71 25.24 13.6 -29.08 40.03 6.7 0
129.24 115.12 6.2 -13.58 2.15 3.7 5
157.79 117.79 3.4 1.22 0.62 2.6 3
180.59 91.64 6.6 9.76 7.09 3.6 6
158.58 117.22 3.4 1.22 0.62 2.6 7
163.71 114.88 3.7 1.22 0.62 2.6 6
154.88 116.28 3.7 1.22 0.62 2.6 1
116.71 35.04 12.6 -10.88 33.5 5.5 0
148.38 131.61 4.7 -4.19 -0.66 2.9 7
155.63 128.55 4 1.22 0.62 2.6 9
160 50.04 10.1 0 35.22 5.5 0
153.82 138.99 5.1 -3.36 -4.63 3 13
162.77 121.41 3.4 1.22 0.62 2.6 11
135.35 44.14 11 -29.08 40.03 6.7 0
153.98 121.95 3.7 1.22 0.62 2.6 5
171.73 136.15 5.1 5.13 -5.13 3.2 11
176.15 131.73 5.1 5.13 -5.13 3.2 5
120.34 80.34 8.7 -33.21 33.21 6.5 0
116.71 35.04 12.6 -23.37 32.16 5.9 2
158.49 129.479 4 1.22 0.62 2.6 7
146.66 78.95 7.4 -26.16 36.01 6.3 -1
156.28 114.88 3.7 1.22 0.62 2.6 2
116.71 35.04 12.6 -15.73 21.65 4.8 0
118.88 63.4 10.1 -32.14 44.24 7.1 0
161.95 113.98 3.7 1.22 0.62 2.6 3
182.1 136.05 5.8 5.13 -5.13 3.2 4
181.02 109.28 5.5 5.44 1.77 3 9
43.59 101.56 14.7 -41.59 6.58 6.1 1
149.5 112.37 4.4 1.22 0.62 2.6 4
167.4 73.22 7.8 10.88 33.5 5.5 0
170.71 98.97 5.5 7.13 5.18 3.3 4
155.99 107.66 4.4 1.22 0.62 2.6 3
148.29 46.12 10.5 -5.86 37 5.7 1
150.51 118.49 4 1.22 0.62 2.6 4
111.71 25.24 13.6 -32.14 44.24 7.1 0
167.45 105.36 4.7 1.22 0.62 2.6 12
187.82 34.37 12 8.26 25.45 4.8 0
166.1 81.42 7 3.72 11.47 3.6 2
173.33 78.95 7.4 7.09 9.76 3.6 -1
161.95 126.01 3.7 1.22 0.62 2.6 9
153.98 118.04 3.7 1.22 0.62 2.6 9
148.29 46.12 10.5 -10.88 33.5 5.5 1
108.33 119.99 8.3 -22.81 0 4.5 4
145.36 127.45 4.7 1.22 0.62 2.6 0
118.2 89.63 8.3 -35.34 48.64 7.6 0
148.29 46.12 10.5 0 30.89 5.2 0
163.69 96.69 5.5 6.58 41.59 6.1 0
116.84 120 7.4 -22.81 0 4.5 4
103.4 78.88 10.1 -48.64 35.34 7.6 0
152.54 105.36 4.7 1.22 0.62 2.6 0
156.3 96.69 5.5 -1.77 5.44 3 3
174.63 112.54 4.7 1.22 0.62 2.6 6
153.2 126.79 4 1.22 0.62 2.6 8
121.42 113.89 7 -17.03 2.69 4 7
153.82 101 5.1 -4.63 3.36 3 3
143.77 117.43 4.7 -4.19 0.66 2.9 1
149.28 98.97 5.5 -21.32 41.85 6.5 0
172.97 120 4.4 8.81 0 3.3 0
131.64 99.4 6.6 -14.72 4.78 3.9 3
148.29 46.12 10.5 -3.87 24.46 4.6 0
47.96 119.99 14.2 -39.76 0 5.9 5
172.33 124 4.4 1.22 0.62 2.6 6
100.76 38.46 13.1 -36.01 26.16 6.3 0
173.27 36.21 11.5 -40.56 40.56 7.4 0
149.79 55.58 9.6 -10.88 33.5 5.5 -1
169.48 121.5 4 1.22 0.62 2.6 10
157.79 117.79 3.4 -4.19 0.66 2.9 0
100.76 38.46 13.1 -32.16 23.37 5.9 0
141 113.82 5.1 -4.19 0.66 2.9 4
174.91 25.82 12.6 9.54 29.38 5.2 0
184.64 44.14 11 14.99 29.43 5.3 0
166.79 126.79 4 1.22 0.62 2.6 7
162.2 122.2 3.4 6.58 41.59 6.1 0
103.4 78.88 10.1 -33.21 33.21 6.5 0
145.36 127.45 4.7 -2.25 -1.64 2.8 0
136.69 123.69 5.5 -5.72 0 3 7
181.5 77.8 7.8 7.09 9.76 3.6 5
153.89 81.42 7 0 44.51 6.3 0
130.39 61.89 9.6 -14.99 29.43 5.3 0
170.82 86.66 6.6 2.72 8.38 3.3 11
177.72 85.2 7 9.76 7.09 3.6 2
160 113.67 3.7 1.22 0.62 2.6 6
118.88 63.4 10.1 -29.77 29.77 6.1 0
176.05 142.1 5.8 5.13 -5.13 3.2 8
148.26 103.84 5.1 -21.32 41.85 6.5 0
160 100.03 5.1 0 39.76 5.9 1
99.4 119.99 9.1 -30.89 0 5.2 9
170.2 55.58 9.6 5.86 37 5.7 3
178.72 62.37 9.1 14.99 29.43 5.3 0
148.38 131.61 4.7 1.22 0.62 2.6 1
187.74 105.86 6.2 14.72 4.78 3.9 2
136.69 116.3 5.5 -4.19 0.66 2.9 6
157.43 136.22 4.7 -1.92 -3.77 2.9 8
101.89 90.39 9.6 -25.45 8.26 4.8 7
166.1 81.42 7 -12.28 37.81 5.9 0
111.71 25.24 13.6 -17.51 17.51 4.6 0
190.36 78.2 8.3 12.52 9.09 3.9 1
39.45 32.41 17.8 -46.38 23.63 6.9 0
190.36 78.2 8.3 9.72 9.72 3.7 0
165.11 116.28 3.7 1.22 0.62 2.6 9
173.27 36.21 11.5 3.87 24.46 4.6 0
149.28 141.02 5.5 -3.36 -4.63 3 19
157.22 121.41 3.4 1.22 0.62 2.6 3
129.63 78.2 8.3 -36.8 36.8 6.9 0
131.64 140.59 6.6 -11.47 -3.72 3.6 7
156.91 120.48 3.4 -23.63 46.38 6.9 0
170.49 112.37 4.4 1.22 0.62 2.6 8
135.35 44.14 11 -19.11 37.52 6.1 0
117.8 141.5 7.8 -20.66 -3.27 4.3 13
145.08 25.82 12.6 -3.87 24.46 4.6 6
177.72 85.2 7 7.09 9.76 3.6 0
76.65 36.65 14.7 -44.5 44.5 7.8 0
143.84 108.26 5.1 -9.28 4.73 3.4 5
125.2 137.72 7 -17.03 -2.69 4 3
125.2 137.72 7 -20.66 -3.27 4.3 0
156.91 119.51 3.4 1.22 0.62 2.6 5
146.72 36.21 11.5 -36.8 36.8 6.9 0
135.35 44.14 11 -17.01 33.38 5.7 0
160 50.04 10.1 9.54 29.38 5.2 0
189.6 61.89 9.6 18.46 13.41 4.5 0
155.12 89.24 6.2 -2.72 8.38 3.3 1
160 59.4 9.1 0 39.76 5.9 0
160 84.95 6.6 2.72 8.38 3.3 2
100.76 38.46 13.1 -40.56 40.56 7.4 0
135.35 44.14 11 -21.32 41.85 6.5 0
124.38 70.97 9.1 -48.64 35.34 7.6 0
132.25 134.13 6.2 -11.47 -3.72 3.6 1
166.17 101 5.1 -1.92 3.77 2.9 6
116.71 35.04 12.6 -26.49 26.49 5.7 0
190.75 124.87 6.2 8.81 0 3.3 3
160 29.97 12 -5.86 37 5.7 0
130.39 61.89 9.6 -21.32 41.85 6.5 0
161.41 122.77 3.4 1.22 0.62 2.6 8
74.37 92.17 12 -29.08 40.03 6.7 0
160 68.33 8.3 -40.56 40.56 7.4 0
168.77 64.61 8.7 2.15 13.58 3.7 3
168.77 64.61 8.7 5.16 32.619 5.3 0
158.58 117.22 3.4 -1.22 0.62 2.6 0
132.17 34.37 12 -13.07 25.66 5 0
143.77 122.56 4.7 -4.19 0.66 2.9 1
187.61 92.38 7 9.76 7.09 3.6 7
160 92.67 5.8 2.72 8.38 3.3 7
166.79 126.79 4 5.72 0 3 0
170.82 86.66 6.6 9.76 7.09 3.6 0
135.35 44.14 11 -5.86 37 5.7 0
146.72 36.21 11.5 -4.5 28.44 5 0
182.01 97.98 6.2 9.76 7.09 3.6 0
65.82 134.91 12.6 -41.59 -6.58 6.1 9
145.36 112.54 4.7 1.22 0.62 2.6 0
113.88 73.88 9.6 -26.16 36.01 6.3 0
185.36 85.08 7.4 9.76 7.09 3.6 10
132.17 34.37 12 -5.86 37 5.7 0
183.3 123.69 5.5 8.81 0 3.3 6
146.66 78.95 7.4 -21.32 41.85 6.5 0
59.23 19.23 17.1 -41.85 21.32 6.5 0
59.23 19.23 17.1 -46.38 23.63 6.9 0
49.86 39.98 16.5 -47.06 15.29 6.7 1
167.62 109.5 4.4 1.22 0.62 2.6 5
184.64 44.14 11 3.87 24.46 4.6 0
117.8 98.49 7.8 -14.72 4.78 3.9 2
145.08 25.82 12.6 -10.88 33.5 5.5 0
146.72 36.21 11.5 -10.88 33.5 5.5 0
138.49 77.8 7.8 -23.63 46.38 6.9 0
162.77 118.58 3.4 0.62 1.22 2.6 0
171.7 46.12 10.5 6.58 41.59 6.1 0
113.11 55.47 11 -14.79 14.79 4.3 0
86.12 131.7 10.5 -28.44 -4.5 5 6
132.17 34.37 12 -7.05 21.7 4.5 0
162.2 117.79 3.4 1.22 0.62 2.6 4
166.1 81.42 7 6.58 41.59 6.1 0
84.14 95.35 11 -32.619 5.16 5.3 11
64.14 88.85 13.1 -41.59 6.58 6.1 8
160 76.84 7.4 0 35.22 5.5 0
163.71 125.11 3.7 1.22 0.62 2.6 7
111.71 25.24 13.6 -26.49 26.49 5.7 0
76.65 36.65 14.7 -33.21 33.21 6.5 0
92.58 52.58 12.6 -40.56 40.56 7.4 1
124.95 120 6.6 -15.47 0 3.9 4
160 40.24 11 0 44.51 6.3 0
181.02 109.28 5.5 15.47 0 3.9 0
175.96 70.86 8.3 0 44.51 6.3 1
170.71 141.02 5.5 1.77 -5.44 3 12
126.04 53.35 10.5 -17.51 17.51 4.6 11
173.27 36.21 11.5 0 35.22 5.5 0
135.35 44.14 11 -14.99 29.43 5.3 1
148.38 108.38 4.7 -2.65 0.86 2.8 2
121.48 44.41 11.5 -29.08 40.03 6.7 0
174.91 25.82 12.6 13.75 42.33 6.3 0
157.79 122.2 3.4 1.22 0.62 2.6 4
132.17 34.37 12 -15.29 47.06 6.7 0
118.95 133.33 7.4 -19.06 0 4.2 2
49.86 39.98 16.5 -46.38 23.63 6.9 0
171.73 103.84 5.1 2.65 0.86 2.8 2
76.21 106.72 11.5 -32.619 5.16 5.3 13
161.5 129.479 4 1.22 0.62 2.6 9
110.97 84.38 9.1 -29.08 40.03 6.7 0
129.24 124.87 6.2 -15.47 0 3.9 3
132.17 34.37 12 -18.15 24.99 5.2 0
113.88 73.88 9.6 -32.14 44.24 7.1 0
135.35 44.14 11 -13.75 42.33 6.3 1
84.41 81.48 11.5 -29.38 9.54 5.2 7
99.4 119.99 9.1 -26.76 0 4.8 0
145.08 25.82 12.6 -9.54 29.38 5.2 0
103.4 78.88 10.1 -44.24 32.14 7.1 0
173.33 78.95 7.4 9.76 7.09 3.6 3
113.22 127.4 7.8 -20.66 -3.27 4.3 3
113.11 55.47 11 -36.8 36.8 6.9 0
184.64 44.14 11 12.28 37.81 5.9 0
160 29.97 12 7.34 46.39 6.5 0
148.38 108.38 4.7 1.22 0.62 2.6 0
158.04 113.98 3.7 1.22 0.62 2.6 7
130.39 61.89 9.6 -17.01 33.38 5.7 0
69.97 119.99 12 -39.76 0 5.9 11
76.65 36.65 14.7 -41.85 21.32 6.5 0
95.58 109.79 9.6 -28.44 4.5 5 8
178.99 126.17 5.1 8.81 0 3.3 5
95.58 109.79 9.6 -24.46 3.87 4.6 0
93.35 86.04 10.5 -25.45 8.26 4.8 6
174.63 127.45 4.7 1.22 0.62 2.6 7
173.27 36.21 11.5 0 44.51 6.3 0
182.01 142.01 6.2 5.13 -5.13 3.2 1
157.79 117.79 3.4 -29.08 40.03 6.7 0
138.49 77.8 7.8 -19.11 37.52 6.1 0
143.94 142.1 5.8 -29.08 40.03 6.7 0
143.94 142.1 5.8 -36.8 36.8 6.9 0
84.14 144.64 11 -32.619 -5.16 5.3 19
92.58 52.58 12.6 -36.8 36.8 6.9 0
143.31 136.68 5.5 -4.19 -0.66 2.9 1
152.54 134.63 4.7 1.22 0.62 2.6 3
187.74 134.13 6.2 12.06 0 3.6 -1
171.7 46.12 10.5 4.5 28.44 5 0
78.46 60.76 13.1 -37.81 12.28 5.9 9
107.08 47.16 12 -26.49 26.49 5.7 0
181.02 109.28 5.5 12.28 37.81 5.9 1
179.96 120 5.1 8.81 0 3.3 8
159.51 123.08 3.4 1.22 0.62 2.6 6
171.61 108.38 4.7 0 44.51 6.3 0
170.2 55.58 9.6 5.16 32.619 5.3 1
132.67 120 5.8 -5.72 0 3 4
74.37 147.82 12 -37 -5.86 5.7 7
171.7 46.12 10.5 7.05 21.7 4.5 0
104.61 111.22 8.7 -22.81 0 4.5 3
84.14 95.35 11 -29.38 9.54 5.2 0
166.79 113.2 4 1.22 0.62 2.6 4
162.56 136.22 4.7 1.22 0.62 2.6 2
187.74 105.86 6.2 8.38 2.72 3.3 0
126.04 53.35 10.5 -20.7 28.49 5.5 1
181.61 53.47 10.1 13.75 42.33 6.3 1
155.12 89.24 6.2 0 44.51 6.3 1
162.56 103.77 4.7 -1.92 3.77 2.9 1
110.86 104.03 8.3 -24.46 3.87 4.6 2
160 50.04 10.1 0 30.89 5.2 0
110.86 135.96 8.3 -20.66 -3.27 4.3 5
146.72 36.21 11.5 0 35.22 5.5 0
121.48 44.41 11.5 -14.99 29.43 5.3 0
86.12 108.29 10.5 -32.619 5.16 5.3 9
153.89 81.42 7 -13.75 42.33 6.3 0
90.04 119.99 10.1 -30.89 0 5.2 7
84.8 44.8 13.6 -40.03 29.08 6.7 0
113.22 112.59 7.8 -24.46 3.87 4.6 4
92.58 52.58 12.6 -40.03 29.08 6.7 0
86.12 131.7 10.5 -32.619 -5.16 5.3 1
170.2 55.58 9.6 6.58 41.59 6.1 0
121.42 126.1 7 -20.66 -3.27 4.3 2
160 50.04 10.1 0 39.76 5.9 0
135.35 44.14 11 -10.88 33.5 5.5 1
160 139.96 5.1 -3.36 -4.63 3 5
152.59 73.22 7.8 -5.16 32.619 5.3 0
134.01 128.44 5.8 -5.72 0 3 1
178.99 126.17 5.1 -7.34 46.39 6.5 0
174.13 92.25 6.2 7.13 5.18 3.3 3
