retX retY motX motY time
159.95 123.611 0 0 1432206850
82.1692 69.3538 -45.9802 12.9467 1432206850
146 61 -17.9814 17.7606 1432206850
82.5115 93.5649 -45.9814 47.4274 1432206850
82.5 93.7121 -45.9812 6.66884 1432206850
82.5333 94.1481 -45.9805 6.63657 1432206850
82.5693 94.8394 -45.9757 6.56387 1432206850
82.6867 96.72 -45.9399 6.363 1432206850
110.405 124.727 -21.9813 -0.144065 1432206850
90.4866 89.6005 -42.9809 33.3564 1432206850
90.4805 89.5262 -38.9801 7.70237 1432206850
90.5148 89.3387 -38.9719 7.72393 1432206850
90.7004 88.8778 -38.9121 7.78015 1432206850
180.166 79.0671 9.01852 9.80517 1432206850
180.128 77.9334 9.01779 9.99186 1432206850
128.456 62.4979 -13.9814 16.6801 1432206850
128.443 62.6603 -13.9815 16.6659 1432206850
127.221 62.8207 -13.982 16.634 1432206850
127.373 63.2041 -13.9855 16.5578 1432206850
125.962 64.167 -14.007 16.3758 1432206850
114.37 71.4846 -18.9813 12.7629 1432206850
114.347 71.0613 -18.9808 12.8817 1432206850
146.79 85.9292 -28.9805 47.3934 1432206850
146.801 85.8415 -4.98254 8.74415 1432206850
146.751 85.3218 -4.99006 8.83289 1432206850
146.504 84.1355 -5.0347 9.03283 1432206850
86.945 64.7615 -41.853 16.5296 1432206850
161.375 120.149 0 0 1432206865
110.469 118.519 -22.6929 0.00344247 1432206865
164.82 64.0693 -11.6915 39.3784 1432206865
165.464 63.6515 1.30616 14.8808 1432206865
167.707 62.8153 1.30262 15.1303 1432206865
137.891 109.063 8.30587 39.4154 1432206865
128.985 124.832 -13.6784 -1.10995 1432206865
129.503 123.286 -13.6172 -0.914277 1432206865
140.121 112.686 -8.70881 1.43294 1432206865
83.6607 83.6741 -45.6873 7.13056 1432206865
173.922 73.278 12.3062 35.4549 1432206865
165.041 112.468 0 0 1432206875
133.538 120.283 -13.5219 -1.99109 1432206875
126.136 125.835 -13.522 41.524 1432206875
168.598 122.906 0 0 1432206880
122.394 75.2482 -18.4457 11.4414 1432206880
168.633 124.824 0 0 1432206887
113.313 123.212 -22.7134 0.023988 1432206887
85.9706 112.368 -46.5901 2.86722 1432206887
85.9579 111.015 -46.5891 3.04733 1432206887
168.086 61.8793 -3.59022 45.4165 1432206887
156.124 123.45 0 0 1432206896
113.207 72.8605 -18.4521 11.9707 1432206896
165.715 65.4503 6.54654 48.3812 1432206896
160.793 115.267 0 0 1432206903
115.809 66.1822 -18.451 13.0667 1432206903
178.625 92.6397 8.54791 46.4911 1432206903
178.758 110.129 7.50138 1.06627 1432206903
102.181 87.0639 -29.4104 6.4801 1432206903
169.959 124.323 0 0 1432206910
167.371 68.6087 -8.53788e-07 13.2048 1432206910
160.167 119.727 -37.9864 35.5883 1432206910
163.325 125.866 0 0 1432206916
161.851 113.697 0 0 1432206927
177.494 106.66 7.02913 0.973865 1432206927
137.949 66.3189 -10.4738 18.0704 1432206927
156.929 100.257 -1.4631 3.21918 1432206927
158.01 123.254 0 0 1432206934
144.801 82.134 -10.0002 28.2843 1432206934
166.014 115.898 0 0 1432206941
133.441 123.656 -13.5664 -2.04882 1432206941
203.45 61.05 8.42901 16.2678 1432206941
170.468 109.734 0 0 1432206948
186.639 105.498 7.02902 0.964412 1432206948
97.3182 105.283 -37.4274 0.967034 1432206948
113.553 90.9318 -50.4275 25.1874 1432206948
174.801 117.224 0 0 1432206956
140.678 125.841 -13.5105 -1.97877 1432206956
100.952 127.874 -36.2033 -1.97871 1432206956
180.378 123.364 2.06021 -1.6749 1432206956
96.5025 72.8375 -40.2492 10.275 1432206956
137.584 66.9836 -23.2493 44.8385 1432206956
160.999 118.61 0 0 1432206961
115.828 67.7966 -18.4525 13.0953 1432206961
182.375 61.125 -1.45426 32.3855 1432206961
172.188 123.141 0 0 1432206969
170.14 67.4259 -2.56136e-06 13.9216 1432206969
109.836 85.3788 -41.9788 24.3459 1432206969
174.305 119.377 0 0 1432206974
132.812 93.3317 -16.9795 5.89619 1432206974
132.635 89.7971 -16.979 6.11932 1432206974
155.016 61.8952 -12.9785 31.3155 1432206974
