x y radius usage
1.22 0.62 2.6 686
6.46 3.29 3.2 27
2.72 8.38 3.3 49
-19.11 37.52 6.1 -1
-14.72 4.78 3.9 68
-44.24 32.14 7.1 2
-20.66 -3.27 4.3 120
12.19 12.19 4 18
11.2 15.42 4.2 0
-8.38 -2.72 3.3 6
5.18 7.13 3.3 1
-29.77 29.77 6.1 -5
1.22 0.62 2.6 686
-2.69 17.03 4 -1
1.22 0.62 2.6 686
1.63 10.29 3.4 -1
1.22 0.62 2.6 686
6.46 3.29 3.2 27
1.22 0.62 2.6 686
10.88 33.5 5.5 -1
1.22 0.62 2.6 686
1.22 0.62 2.6 686
-7.13 -5.18 3.3 17
1.22 0.62 2.6 686
-1.13 7.16 3.2 4
1.22 0.62 2.6 686
-6.58 41.59 6.1 -1
1.22 0.62 2.6 686
-13.75 42.33 6.3 0
1.22 0.62 2.6 686
0 44.51 6.3 3
-19.06 0 4.2 1
1.22 0.62 2.6 686
1.22 0.62 2.6 686
-4.19 -0.66 2.9 30
1.22 0.62 2.6 686
-40.56 40.56 7.4 1
1.22 0.62 2.6 686
1.22 0.62 2.6 686
1.22 0.62 2.6 686
1.22 0.62 2.6 686
-4.19 0.66 2.9 65
1.22 0.62 2.6 686
5.13 5.13 3.2 -2
1.22 0.62 2.6 686
1.22 0.62 2.6 686
-9.54 29.38 5.2 0
1.22 0.62 2.6 686
-13.07 25.66 5 -2
1.22 0.62 2.6 686
-0.86 -2.65 2.8 35
-26.16 36.01 6.3 3
1.22 0.62 2.6 686
-3.36 -4.63 3 81
-13.75 42.33 6.3 0
-4.63 3.36 3 20
1.22 0.62 2.6 686
0 39.76 5.9 -1
-18.63 9.49 4.3 6
1.22 0.62 2.6 686
-5.16 32.619 5.3 -1
1.22 0.62 2.6 686
-26.16 36.01 6.3 3
1.22 0.62 2.6 686
1.22 0.62 2.6 686
1.22 0.62 2.6 686
-33.21 33.21 6.5 -1
-29.08 40.03 6.7 -1
2.72 8.38 3.3 49
-13.58 2.15 3.7 39
-15.47 0 3.9 10
-14.72 4.78 3.9 68
1.22 0.62 2.6 686
1.22 0.62 2.6 686
-14.72 4.78 3.9 68
-13.58 2.15 3.7 39
-13.58 2.15 3.7 39
6.46 3.29 3.2 27
-36.8 36.8 6.9 -1
-22.06 11.24 4.6 -1
1.22 0.62 2.6 686
-44.24 32.14 7.1 2
1.22 0.62 2.6 686
-32.14 44.24 7.1 -1
-4.63 -3.36 3 2
-4.78 14.72 3.9 3
1.22 0.62 2.6 686
1.22 0.62 2.6 686
1.22 0.62 2.6 686
-14.72 4.78 3.9 68
1.22 0.62 2.6 686
-33.21 33.21 6.5 -1
0 44.51 6.3 3
1.22 0.62 2.6 686
-7.34 46.39 6.5 1
8.81 0 3.3 67
-40.56 40.56 7.4 1
-4.19 0.66 2.9 65
1.22 0.62 2.6 686
1.22 0.62 2.6 686
-0.86 -2.65 2.8 35
-29.08 40.03 6.7 -1
-13.58 2.15 3.7 39
1.22 0.62 2.6 686
9.76 7.09 3.6 45
1.22 0.62 2.6 686
