retX retY motX motY time
154.919 123.187 0 0 1433234814
79.2774 144.119 -32.4453 -4.5306 1433234814
163.933 118.968 0 0 1433234820
131.277 99.9313 -14.6444 4.40137 1433234820
103.264 22.8243 -26.6395 29.6919 1433234820
158.842 120.419 0 0 1433234824
89.6349 120.269 -30.6248 0.00800512 1433234824
169.405 129.081 0 0 1433234828
187.676 127.861 8.63365 0.0853788 1433234828
172.329 113.619 0 0 1433234832
183.282 131.648 5.07333 -4.63442 1433234832
175.452 119.006 0 0 1433234836
102.104 100.502 -32.4522 4.66294 1433234836
167.633 117.074 0 0 1433234840
183.397 77.2356 7.07819 9.23738 1433234840
157.93 118.255 0 0 1433234846
71.7399 141.346 -36.9466 -5.60446 1433234846
137.019 26.7388 -9.94699 36.8588 1433234846
171.039 129.676 0 0 1433234850
104.282 40.9623 -28.4845 20.3007 1433234850
160.968 129.908 0 0 1433234857
102.677 132.57 -26.484 -0.146524 1433234857
168.115 111.687 0 0 1433234862
92.6611 23.0358 -32.1535 22.8744 1433234862
152.101 114.985 0 0 1433234866
83.6331 76.2037 -29.3058 8.91458 1433234866
160.801 127.006 0 0 1433241536
159.123 33.7781 -5.80576e-05 22.3678 1433241536
159.866 124.591 0 0 1433241543
60.9853 95.1434 -41.5299 6.30893 1433241543
116.862 20.2931 -18.5296 28.8994 1433241543
165.775 132.23 0 0 1433241550
65.5834 69.0023 -42.3157 13.4543 1433241550
64.7507 38.6712 -48.3138 34.9382 1433241550
161.904 128.823 0 0 1433241557
115.155 140.569 -20.5715 -3.0282 1433241557
159.787 23.0716 0.428252 32.3045 1433241557
157.446 132.14 0 0 1433241565
51.0295 130.971 -44.433 0.00275944 1433241565
168.912 27.5284 6.56347 35.397 1433241565
167.32 123.075 0 0 1433241569
94.3844 141.025 -32.346 -4.52784 1433241569
164.351 123.1 0 0 1433241574
183.731 122.223 8.67571 0.00825101 1433241574
110.961 25.6621 -23.3186 30.2604 1433241574
156.667 122.762 0 0 1433241580
117.169 19.9932 -15.9959 27.5207 1433241580
156.702 122.019 0 0 1433241590
88.4383 80.4503 -29.3376 9.12895 1433241590
99.795 32.2029 -29.3373 37.568 1433241590
160.622 122.175 0 0 1433241595
174.619 109.755 6.43234 3.05274 1433241595
123 19 -16.5665 39.549 1433241595
148.571 111.486 0 0 1433241599
118.288 104.951 -13.4583 1.84385 1433241599
153.668 130.088 0 0 1433241606
143.347 31.7674 -3.86853 24.0011 1433241606
163.737 131.174 0 0 1433241610
63.238 70.5376 -42.3043 13.3159 1433241610
162.738 129.236 0 0 1433241621
160.759 137.177 -0.846616 -2.29424 1433241621
188.273 136.191 11.1515 -2.28886 1433241621
119 19 -11.8464 45.0715 1433241621
158.864 129.678 0 0 1433241626
83.8744 105.851 -32.4515 4.75141 1433241626
101.513 27.7215 -28.4509 39.1176 1433241626
165.748 125.206 0 0 1433241631
163.145 141.43 -0.657675 -3.90964 1433241631
58.7224 141.751 -45.1141 -3.90781 1433241631
162.191 26.9328 -0.115662 38.5303 1433241631
170.888 116 0 0 1433241639
166.278 102.806 -1.91022 3.46652 1433241639
69.31 130.95 -43.3854 -2.93165 1433241639
154.667 135.033 0 0 1433241643
53.1155 75.3851 -42.2619 13.2169 1433241643
162.607 119.945 0 0 1433241647
176.279 109.847 6.39273 2.88143 1433241647
158.67 111.839 0 0 1433241651
108.815 112.457 -22.6312 -0.0791496 1433241651
154.248 132.031 0 0 1433241659
145.625 136.056 -4.0387 -0.726553 1433241659
162.394 111.906 0 0 1433241663
176.59 101.069 6.39828 2.80103 1433241663
168.641 120.355 0 0 1433241667
160.732 138.048 -3.32388 -4.2614 1433241667
187.865 136.222 8.62856 -4.0743 1433241667
150.066 130.605 0 0 1433241675
73.9224 107.751 -32.4515 4.75075 1433241675
97.565 46.7398 -32.4484 36.0777 1433241675
165.627 121.943 0 0 1433241682
163.471 32.2524 0.000990394 22.3052 1433241682
168.477 124.949 0 0 1433241688
160.739 140.982 -3.34275 -4.25798 1433241688
109.457 20.6 -25.3416 29.2398 1433241688
162.812 130 0 0 1433241691
154.687 116.277 0 0 1433241694
151.227 110.048 0 0 1433241698
185.97 140.85 15.2822 -7.23974 1433241698
167.739 117.691 0 0 1433241706
163.162 106.831 -1.91268 3.29975 1433241706
151.624 118.035 0 0 1433241710
64.8129 141.714 -36.9046 -5.48788 1433241710
149.8 113.569 0 0 1433241715
91.1868 30.1602 -32.999 41.4583 1433241715
155.079 121.376 0 0 1433241721
109.633 135.557 -20.4494 -3.11506 1433241721
165.694 127.195 0 0 1433241727
169.355 19.9091 5.9989 32.2981 1433241727
156.148 118.395 0 0 1433241732
69.7807 142.22 -36.9459 -5.58705 1433241732
163.093 106.055 0 0 1433241740
51.2592 39.1089 -47.0384 14.7786 1433241740
171.844 115.973 0 0 1433241744
72.7598 29.9231 -41.842 20.8509 1433241744
155.956 117.213 0 0 1433241751
170.249 132.953 6.43233 -3.05192 1433241751
167.818 138.284 5.58536 -5.33928 1433241751
68.5325 80.9284 -36.7166 7.91165 1433241751
166.801 133.408 0 0 1433241756
106.58 131.774 -26.5421 0.122235 1433241756
160.144 123.473 0 0 1433241759
87.6732 141.109 -32.3613 -4.55846 1433241759
156.81 119.712 0 0 1433241765
170.579 132.542 6.43226 -3.04987 1433241765
66.4246 132.422 -38.0135 -3.04689 1433241765
174.211 27 9.98449 37.3837 1433241765
172.313 117.989 0 0 1433241771
183.817 137.121 5.10367 -4.71999 1433241771
123.288 21.9827 -20.8942 30.6762 1433241771
169.039 115.562 0 0 1433241777
158.811 106.964 -4.59409 2.83982 1433241777
165.63 125.104 0 0 1433241787
163.401 31.6387 -3.41515e-06 22.5431 1433241787
147.791 25.2179 -7.98864 38.9105 1433241787
152.855 129.472 0 0 1433241791
107.07 139.514 -20.4861 -2.81001 1433241791
160.73 118.802 0 0 1433241797
74.3125 144.228 -36.9124 -5.62686 1433241797
157.043 124.519 0 0 1433241801
88.6181 84.7293 -29.3138 8.97663 1433241801
166.424 122.985 0 0 1433241807
183.681 122.126 8.67572 0.00715816 1433241807
179.138 22.1182 8.67469 26.2213 1433241807
154.479 111.967 0 0 1433241813
89.8539 131.795 -28.1926 -4.28823 1433241813
166.654 133.011 0 0 1433241818
105.52 131.764 -26.6454 0.00259552 1433241818
185.555 29.382 10.3521 35.3534 1433241818
160.681 106.209 0 0 1433241829
60.5075 25.0678 -41.8409 20.8494 1433241829
168.908 118.792 0 0 1433241833
90.6885 71.288 -33.487 10.5805 1433241833
159.882 121.462 0 0 1433241836
160.513 118.985 0 0 1433241843
74.3125 144.228 -36.9174 -5.62672 1433241843
