saccadeCounter stepCounter successfulDirectLink successfulNeighbourLink unsuccesfulDirectLinkCounter neighourCounter penultimateMoveWasLink linksLearnt linksUpdated possibleLinkstoLearn unlearntInputFields(612) unlearntOutputFields(580) rollingAverage NumLinks NumGoodLinks TimeStamp
- - - - - - - - - - - - - - - 1433234787
0 1 1 0 0 0 0 2 0 0 264 387 1 602 283 1433234814
1 6 1 0 0 0 0 3 0 6 263 387 3.5 604 283 1433234820
2 1 1 0 0 0 0 2 0 0 263 387 2.66667 604 283 1433234824
3 1 1 0 0 0 0 2 0 0 263 387 2.25 604 283 1433234828
4 1 0 1 0 1 0 2 0 1 262 387 2 605 284 1433234832
5 1 1 0 0 0 0 2 0 0 262 387 1.83333 605 284 1433234836
6 1 1 0 0 0 0 2 0 0 262 387 1.71429 605 284 1433234841
7 2 1 0 0 0 0 3 0 1 262 387 1.75 606 284 1433234846
8 1 1 0 0 0 0 2 0 0 262 387 1.66667 606 284 1433234851
9 1 1 0 0 0 0 2 0 0 262 387 1.6 606 285 1433234857
10 1 1 0 0 0 0 2 0 0 262 387 1.6 606 285 1433234862
11 1 1 0 0 0 0 2 0 0 262 387 1.1 606 285 1433234866
12 1 1 0 0 0 0 2 0 0 262 387 1 606 285 1433241536
13 2 1 0 0 0 0 3 0 1 262 387 1.5 606 286 1433241543
14 2 1 0 0 0 0 3 0 1 262 387 1.66667 607 286 1433241551
15 6 1 0 0 0 0 3 0 6 261 387 2.75 608 287 1433241557
16 11 1 0 0 0 0 3 0 10 261 387 4.4 609 287 1433241565
17 1 1 0 0 0 0 2 0 0 261 387 3.83333 609 287 1433241569
18 2 1 0 0 0 0 3 0 1 261 387 3.57143 610 287 1433241574
19 8 0 0 0 0 0 2 0 8 261 387 4.125 611 287 1433241580
20 13 1 0 0 0 0 3 0 12 261 387 5.11111 612 287 1433241590
21 2 1 0 0 0 0 3 0 2 260 387 4.8 613 288 1433241595
22 1 1 0 0 0 0 2 0 0 260 387 4.8 613 288 1433241599
23 1 1 0 0 0 0 2 0 0 260 387 4.7 614 288 1433241606
24 1 1 0 0 0 0 2 0 0 260 387 4.6 614 288 1433241611
25 9 1 0 1 0 1 4 0 7 260 387 4.9 615 288 1433241621
26 2 1 0 0 0 0 3 0 1 260 387 4 615 289 1433241626
27 3 1 0 1 0 1 4 0 1 260 387 4.2 616 289 1433241632
28 2 1 0 1 0 1 3 0 0 260 387 4.2 615 287 1433241639
29 1 1 0 0 0 0 2 0 0 260 387 3.5 615 287 1433241644
30 1 1 0 0 0 0 2 0 0 260 387 2.3 615 287 1433241648
31 1 1 0 0 0 0 2 0 0 260 387 2.2 615 288 1433241652
32 1 1 0 0 0 0 2 0 0 260 387 2.2 615 288 1433241659
33 1 1 0 0 0 0 2 0 0 260 387 2.2 616 289 1433241663
34 2 1 0 1 0 1 3 0 0 260 386 2.3 616 289 1433241667
35 13 1 0 0 0 0 3 0 12 260 386 2.7 616 290 1433241675
36 1 1 0 0 0 0 2 0 0 260 386 2.6 616 290 1433241683
37 4 1 0 0 0 0 3 0 3 260 386 2.7 616 291 1433241688
38 0 0 0 0 0 0 1 0 0 260 386 2.5 616 291 1433241691
39 0 0 0 0 0 0 1 0 0 260 386 2.4 616 291 1433241694
40 1 1 0 0 0 0 2 0 0 260 386 2.4 616 291 1433241698
41 1 1 0 0 0 0 2 0 0 260 386 2.4 614 290 1433241706
42 1 1 0 0 0 0 2 0 0 260 386 2.4 615 290 1433241711
43 2 0 0 0 0 0 2 0 2 260 386 2.5 616 290 1433241715
44 1 1 0 0 0 0 2 0 0 260 386 2.4 616 290 1433241721
45 8 0 0 0 0 0 2 0 8 260 386 1.9 617 290 1433241727
46 1 1 0 0 0 0 2 0 0 260 386 1.9 617 290 1433241732
47 1 1 0 0 0 0 2 0 0 260 386 1.6 617 290 1433241740
48 1 1 0 0 0 0 2 0 0 260 386 1.7 617 290 1433241745
49 3 1 0 1 1 1 4 0 2 259 385 2 618 290 1433241752
50 1 1 0 0 0 0 2 0 0 259 385 2 618 291 1433241756
51 1 1 0 0 0 0 2 0 0 259 385 2 618 291 1433241760
52 5 1 0 1 0 1 4 0 3 259 385 2.4 618 292 1433241766
53 2 1 0 0 0 0 3 0 1 259 385 2.4 619 292 1433241771
54 1 1 0 0 0 0 2 0 0 259 385 2.4 620 292 1433241777
55 3 1 0 0 0 0 3 0 2 259 385 1.9 621 292 1433241788
56 1 0 1 0 1 0 2 0 1 259 385 1.9 622 293 1433241792
57 1 1 0 0 0 0 2 0 0 259 385 1.9 622 293 1433241798
58 1 1 0 0 0 0 2 0 0 259 385 1.9 623 293 1433241802
59 2 1 0 1 0 1 3 0 0 259 385 1.8 623 293 1433241807
60 1 1 0 0 0 0 2 0 0 259 385 1.8 623 293 1433241813
61 2 1 0 0 0 0 3 0 1 259 385 1.9 624 293 1433241819
62 1 1 0 0 0 0 2 0 0 259 385 1.5 624 295 1433241829
63 1 1 0 0 0 0 2 0 0 259 385 1.4 625 295 1433241833
64 0 0 0 0 0 0 1 0 0 259 385 1.3 625 295 1433241836
65 1 1 0 0 0 0 2 0 0 259 385 1.1 625 295 1433241843
